,Name,Platform,Genre,Global_Sales
8578,Super Mario Bros. 2,NES,Platform,7.46
13739,Call of Duty: Black Ops 3,XOne,Shooter,7.37
13740,Battlefield 3,X360,Shooter,7.35
13741,Battlefield 1,PS4,Shooter,7.26
13742,Battlefield 3,PS3,Shooter,7.21
6246,Just Dance,Wii,Misc,7.21
10433,Need for Speed Underground,PS2,Racing,7.2
3294,The Legend of Zelda: Twilight Princess,Wii,Adventure,7.18
5285,Tekken 3,PS,Fighting,7.16
11936,Pokemon: Ultra Sun and Ultra Moon,3DS,Role-Playing,7.15
8579,Crash Bandicoot 3: Warped,PS,Platform,7.13
5286,Super Smash Bros. Melee,GC,Fighting,7.07
13743,Splatoon 2,NS,Shooter,7.04
10434,Mario Kart: Double Dash!!,GC,Racing,6.95
10435,Need for Speed Underground 2,PS2,Racing,6.9
8372,Just Dance 4,Wii,Music,6.89
11,Uncharted 3: Drake's Deception,PS3,Action,6.84
13744,Medal of Honor: Frontline,PS2,Shooter,6.83
8580,Crash Bandicoot,PS,Platform,6.82
3005,The Last of Us Remastered,PS4,Action-Adventure,6.77
16505,Zumba Fitness,Wii,Sports,6.76
13745,Gears of War 2,X360,Shooter,6.75
12,Uncharted 2: Among Thieves,PS3,Action,6.74
13746,Call of Duty 4: Modern Warfare,PS3,Shooter,6.72
16506,FIFA Soccer 12,PS3,Sports,6.65
6247,Big Brain Academy,DS,Misc,6.63
16507,FIFA 14,PS3,Sports,6.61
13,Red Dead Redemption,PS3,Action,6.57
3295,The Legend of Zelda,NES,Adventure,6.51
3006,Assassin's Creed III,PS3,Action-Adventure,6.5
8581,Donkey Kong Country Returns,Wii,Platform,6.5
14,Red Dead Redemption,X360,Action,6.5
11937,The Elder Scrolls V: Skyrim,PS3,Role-Playing,6.49
13747,Halo: Combat Evolved,XB,Shooter,6.43
11938,Pokemon Emerald Version,GBA,Role-Playing,6.41
11939,Kingdom Hearts,PS2,Role-Playing,6.4
11940,Pokemon Crystal Version,GBC,Role-Playing,6.39
8332,World of Warcraft,PC,MMO,6.35
13748,Halo 3: ODST,X360,Shooter,6.35
6248,Minecraft,PS4,Misc,6.33
16508,FIFA 15,PS4,Sports,6.32
8582,Super Mario Sunshine,GC,Platform,6.31
5287,Street Fighter II: The World Warrior,SNES,Fighting,6.3
15,Driver,PS,Action,6.27
3007,The Last of Us,PS3,Action-Adventure,6.27
16509,Kinect Sports,X360,Sports,6.23
13749,Call of Duty: WWII,XOne,Shooter,6.23
13750,Gears of War 3,X360,Shooter,6.22
16,God of War (2018),PS4,Action,6.15
13751,Gears of War,X360,Shooter,6.09
17,Metal Gear Solid 2: Sons of Liberty,PS2,Action,6.05
6249,Minecraft,PS3,Misc,6.05
8583,Sonic the Hedgehog 2,GEN,Platform,6.03
18,Metal Gear Solid,PS,Action,6.03
19,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,6.0
11941,Final Fantasy XII,PS2,Role-Playing,5.95
15314,Tomodachi Life,3DS,Simulation,5.88
8584,LittleBigPlanet,PS3,Platform,5.85
3008,Horizon: Zero Dawn,PS4,Action-Adventure,5.82
20,Resident Evil 2,PS,Action,5.82
11942,Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,5.79
3009,Red Dead Redemption 2,XOne,Action-Adventure,5.77
13752,Destiny,PS4,Shooter,5.76
5288,Tekken 2,PS,Fighting,5.74
21,Uncharted: The Nathan Drake Collection,PS4,Action,5.7
15315,Cooking Mama,DS,Simulation,5.66
22,LEGO Star Wars: The Complete Saga,Wii,Action,5.66
8585,New Super Mario Bros. U,WiiU,Platform,5.62
9665,Tetris,NES,Puzzle,5.58
23,Assassin's Creed II,PS3,Action,5.57
24,Assassin's Creed,X360,Action,5.55
5289,Super Smash Bros.,N64,Fighting,5.55
25,Batman: Arkham City,PS3,Action,5.54
11943,Monster Hunter Freedom Unite,PSP,Role-Playing,5.5
10436,Forza Motorsport 3,X360,Racing,5.5
8586,Super Mario Advance,GBA,Platform,5.49
10437,Mario Kart: Super Circuit,GBA,Racing,5.47
8587,Super Mario World: Super Mario Advance 2,GBA,Platform,5.46
19157,Pokemon Stadium,N64,Strategy,5.45
3296,Luigi's Mansion: Dark Moon,3DS,Adventure,5.44
6250,Minecraft,XOne,Misc,5.43
13753,Call of Duty: World at War,PS3,Shooter,5.43
8588,Crash Bandicoot: The Wrath of Cortex,PS2,Platform,5.42
11944,The Witcher 3: Wild Hunt,PS4,Role-Playing,5.39
11945,Final Fantasy XIII,PS3,Role-Playing,5.35
9666,Dr. Mario,GB,Puzzle,5.34
6251,Pokemon Pinball,GBC,Misc,5.31
3010,Assassin's Creed III,X360,Action-Adventure,5.31
26,Assassin's Creed II,X360,Action,5.3
11946,Final Fantasy IX,PS,Role-Playing,5.3
11947,Final Fantasy X-2,PS2,Role-Playing,5.29
8589,Donkey Kong 64,N64,Platform,5.27
11948,Diablo III,PC,Role-Playing,5.26
3297,Tomb Raider II,PS,Adventure,5.24
16510,Madden NFL 2004,PS2,Sports,5.23
13754,Call of Duty: Advanced Warfare,XOne,Shooter,5.22
11949,Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,5.21
3298,Professor Layton and the Curious Village,DS,Adventure,5.2
8590,Super Mario Advance 4: Super Mario Bros. 3,GBA,Platform,5.2
8591,Super Mario Land 3: Wario Land,GB,Platform,5.19
8592,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform,5.15
13756,Battlefield 1,XOne,Shooter,5.13
13755,Medal of Honor: Rising Sun,PS2,Shooter,5.13
8593,Kirby's Dream Land,GB,Platform,5.13
6252,Guitar Hero II,PS2,Misc,5.12
15316,Microsoft Flight Simulator,PC,Simulation,5.12
16511,FIFA 13,X360,Sports,5.11
27,Resident Evil 5,PS3,Action,5.1
11950,Fable III,X360,Role-Playing,5.1
16512,Mario & Sonic at the Olympic Games,DS,Sports,5.1
3299,The Legend of Zelda: Phantom Hourglass,DS,Adventure,5.09
16513,FIFA Soccer 11,PS3,Sports,5.08
28,Grand Theft Auto: Vice City Stories,PSP,Action,5.08
5290,Super Smash Bros. for Wii U,WiiU,Fighting,5.07
8594,Super Mario Bros. Deluxe,GB,Platform,5.07
11951,Final Fantasy XV,PS4,Role-Playing,5.07
29,Resident Evil,PS,Action,5.05
11952,Fallout 4,XOne,Role-Playing,5.03
16514,Tony Hawk's Pro Skater,PS,Sports,5.02
19158,Warzone 2100,PS,Strategy,5.01
8595,Super Mario 3D World,WiiU,Platform,5.01
8596,Spyro the Dragon,PS,Platform,5.0
6253,Guitar Hero III: Legends of Rock,PS2,Misc,4.98
13757,Link's Crossbow Training,Wii,Shooter,4.98
8527,Super Mario Party,NS,Party,4.97
30,Uncharted: Drake's Fortune,PS3,Action,4.97
11953,Fallout 3,X360,Role-Playing,4.96
11954,Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,Role-Playing,4.94
13758,Halo 5: Guardians,XOne,Shooter,4.92
16515,Madden NFL 06,PS2,Sports,4.91
10438,Diddy Kong Racing,N64,Racing,4.88
11955,Monster Hunter Freedom 3,PSP,Role-Playing,4.87
19159,StarCraft II: Wings of Liberty,PC,Strategy,4.86
13759,Call of Duty: Black Ops IIII,XOne,Shooter,4.85
9667,Dr. Mario,NES,Puzzle,4.85
8597,Crash Bandicoot N. Sane Trilogy,PS4,Platform,4.83
31,Assassin's Creed,PS3,Action,4.83
32,God of War III,PS3,Action,4.81
10439,Crash Team Racing,PS,Racing,4.79
13760,Call of Duty: Infinite Warfare,XOne,Shooter,4.79
33,LEGO Star Wars: The Complete Saga,DS,Action,4.77
34,Batman: Arkham City,X360,Action,4.75
35,Driver 2,PS,Action,4.73
13761,Splatoon,WiiU,Shooter,4.71
10440,The Simpsons: Hit & Run,PS2,Racing,4.7
16516,Tony Hawk's Pro Skater 2,PS,Sports,4.68
37,The Lord of the Rings: The Two Towers,PS2,Action,4.67
36,Monster Hunter: World,PS4,Action,4.67
15317,Animal Crossing: City Folk,Wii,Simulation,4.65
8528,Nintendo Land,WiiU,Party,4.63
38,Tomb Raider,PS,Action,4.63
3300,The Legend of Zelda: A Link to the Past,SNES,Adventure,4.61
6254,Guitar Hero III: Legends of Rock,Wii,Misc,4.6
10441,Forza Motorsport 4,X360,Racing,4.6
3301,The Legend of Zelda: The Wind Waker,GC,Adventure,4.6
16517,FIFA 15,PS3,Sports,4.56
13762,Overwatch,PS4,Shooter,4.54
16518,Mario & Sonic at the Olympic Winter Games,Wii,Sports,4.54
13763,Star Wars Battlefront II (2017),PS4,Shooter,4.53
6255,Guitar Hero III: Legends of Rock,X360,Misc,4.53
16519,Madden NFL 2005,PS2,Sports,4.53
8598,Pitfall!,2600,Platform,4.5
16520,Madden NFL 07,PS2,Sports,4.49
39,Spider-Man: The Movie,PS2,Action,4.48
11957,The Elder Scrolls IV: Oblivion,X360,Role-Playing,4.47
11956,Dragon Quest VII,PS,Role-Playing,4.47
40,God of War,PS2,Action,4.45
16521,Tony Hawk's Pro Skater 3,PS2,Sports,4.41
16522,Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,4.39
3302,Zelda II: The Adventure of Link,NES,Adventure,4.38
13765,Resistance: Fall of Man,PS3,Shooter,4.37
6256,Michael Jackson: The Experience,Wii,Misc,4.37
10442,Need for Speed: Most Wanted,PS2,Racing,4.37
13764,Tom Clancy's The Division,PS4,Shooter,4.37
13766,Tom Clancy's Rainbow Six: Siege,PS4,Shooter,4.36
13767,Call of Duty: Advanced Warfare,X360,Shooter,4.34
8599,Sonic the Hedgehog,GEN,Platform,4.34
11958,Kingdom Hearts II,PS2,Role-Playing,4.33
3011,Watch Dogs,PS4,Action-Adventure,4.32
13768,Asteroids,2600,Shooter,4.31
41,Batman: Arkham Asylum,PS3,Action,4.28
11959,Fable II,X360,Role-Playing,4.28
13769,Call of Duty: Advanced Warfare,PS3,Shooter,4.27
6257,Namco Museum,GBA,Misc,4.24
42,Assassin's Creed: Revelations,PS3,Action,4.23
43,Metal Gear Solid 3: Snake Eater,PS2,Action,4.23
8600,Daxter,PSP,Platform,4.23
44,Assassin's Creed: Revelations,X360,Action,4.22
16523,FIFA Soccer 06,PS2,Sports,4.21
19160,Warcraft II: Tides of Darkness,PC,Strategy,4.21
10443,Gran Turismo 5 Prologue,PS3,Racing,4.2
6258,EyeToy Play,PS2,Misc,4.2
5291,Street Fighter IV,PS3,Fighting,4.19
16524,FIFA Soccer 12,X360,Sports,4.18
13770,Call of Duty: Ghosts,PS4,Shooter,4.17
8601,Teenage Mutant Ninja Turtles,NES,Platform,4.17
10444,Excitebike,NES,Racing,4.16
45,Frogger,PS,Action,4.16
13771,Star Wars Battlefront (2015),XOne,Shooter,4.15
16525,FIFA 14,X360,Sports,4.15
15318,Nintendogs + cats,3DS,Simulation,4.15
13772,Destiny 2,PS4,Shooter,4.14
16526,Madden NFL 2003,PS2,Sports,4.14
46,Assassin's Creed: Unity,PS4,Action,4.14
13773,Half-Life,PC,Shooter,4.12
8602,Super Mario World 2: Yoshi's Island,SNES,Platform,4.12
16527,FIFA 07 Soccer,PS2,Sports,4.11
47,Batman: Arkham Knight,PS4,Action,4.11
15319,The Sims 4,PC,Simulation,4.1
5292,Street Fighter II Turbo,SNES,Fighting,4.1
8333,World of Warcraft: The Burning Crusade,PC,MMO,4.09
11960,Fallout: New Vegas,X360,Role-Playing,4.08
48,God of War II,PS2,Action,4.07
16528,World Soccer Winning Eleven 9,PS2,Sports,4.06
49,Assassin's Creed Origins,PS4,Action,4.06
6259,Carnival Games,Wii,Misc,4.06
13774,Far Cry 4,PS4,Shooter,4.06
5293,Tekken Tag Tournament,PS2,Fighting,4.05
10445,Forza Motorsport 2,X360,Racing,4.05
6260,Namco Museum Vol.3,PS,Misc,4.05
13775,Star Fox 64,N64,Shooter,4.03
16529,Golf,NES,Sports,4.01
11961,Fallout 3,PS3,Role-Playing,4.0
11962,The Elder Scrolls V: Skyrim,PC,Role-Playing,3.99
6261,Namco Museum: 50th Anniversary,PS2,Misc,3.98
16530,NBA 2K16,PS4,Sports,3.98
13776,Left 4 Dead 2,X360,Shooter,3.97
3303,The Legend of Zelda: Skyward Sword,Wii,Adventure,3.96
11963,Monster Hunter 4 Ultimate,3DS,Role-Playing,3.96
3304,Professor Layton and the Diabolical Box,DS,Adventure,3.95
50,Far Cry 5,PS4,Action,3.95
3012,Assassin's Creed IV: Black Flag,PS3,Action-Adventure,3.94
13777,Battlefield 4,PS4,Shooter,3.94
10446,Forza Horizon 3,XOne,Racing,3.93
16531,EA Sports Active,Wii,Sports,3.93
8603,Donkey Kong Land,GB,Platform,3.91
16532,Tony Hawk's Underground,PS2,Sports,3.9
8373,Just Dance 2014,Wii,Music,3.89
16533,Sports Champions,PS3,Sports,3.88
10447,MotorStorm,PS3,Racing,3.87
11964,Dragon Quest III,NES,Role-Playing,3.87
5294,Tekken 5,PS2,Fighting,3.87
16534,World Soccer Winning Eleven 8 International,PS2,Sports,3.85
6262,Namco Museum Vol.1,PS,Misc,3.84
3305,The Legend of Zelda: Link's Awakening,GB,Adventure,3.83
6263,Flash Focus: Vision Training in Minutes a Day,DS,Misc,3.83
6264,Big Brain Academy: Wii Degree,Wii,Misc,3.79
51,Resident Evil Director's Cut,PS,Action,3.77
11965,Mario & Luigi: Bowser's Inside Story,DS,Role-Playing,3.77
10448,Gran Turismo Sport,PS4,Racing,3.77
15320,The Sims: Unleashed,PC,Simulation,3.76
3306,LEGO Indiana Jones: The Original Adventures,X360,Adventure,3.76
8604,Ratchet & Clank: Size Matters,PSP,Platform,3.75
52,Harry Potter and the Sorcerer's Stone,PS,Action,3.73
8605,Super Paper Mario,Wii,Platform,3.73
53,Resident Evil 3: Nemesis,PS,Action,3.72
16535,Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,3.72
8606,Spyro: Year of the Dragon,PS,Platform,3.71
16536,FIFA 17,XOne,Sports,3.71
16537,FIFA Soccer 2005,PS2,Sports,3.7
19161,Pokemon Trading Card Game,GB,Strategy,3.7
6265,Tomodachi Collection,DS,Misc,3.67
16538,Tony Hawk's Pro Skater 4,PS2,Sports,3.67
15321,MySims,DS,Simulation,3.66
10449,Midnight Club 3: DUB Edition,PSP,Racing,3.66
8607,Banjo-Kazooie,N64,Platform,3.65
13778,SOCOM: U.S. Navy SEALs,PS2,Shooter,3.65
11966,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Role-Playing,3.65
13779,Battlefield 4,PS3,Shooter,3.64
8608,Jak and Daxter: The Precursor Legacy,PS2,Platform,3.64
16540,FIFA Soccer 10,PS3,Sports,3.63
16539,Pro Evolution Soccer 2008,PS2,Sports,3.63
15322,Pokemon Snap,N64,Simulation,3.63
54,Resident Evil 4,PS2,Action,3.62
13780,Gears of War: Ultimate Edition,XOne,Shooter,3.62
6266,Guitar Hero: World Tour,Wii,Misc,3.62
10450,The Simpsons: Road Rage,PS2,Racing,3.61
13781,Star Wars Battlefront,PS2,Shooter,3.61
13782,Doom II,PC,Shooter,3.61
55,Luigi's Mansion,GC,Action,3.6
56,Assassin's Creed Syndicate,PS4,Action,3.6
13783,Star Wars Battlefront II,PS2,Shooter,3.59
57,Assassin's Creed: Unity,XOne,Action,3.58
15323,Cooking Mama 2: Dinner With Friends,DS,Simulation,3.58
5295,WWF SmackDown!,PS,Fighting,3.58
3307,The Legend of Zelda: A Link Between Worlds,3DS,Adventure,3.57
8609,Croc: Legend of the Gobbos,PS,Platform,3.56
58,Monster Hunter Generations,3DS,Action,3.56
61,Batman: Arkham Asylum,X360,Action,3.54
13784,Battlefield 4,X360,Shooter,3.54
10451,Gran Turismo 6,PS3,Racing,3.54
59,Grand Theft Auto: Liberty City Stories,PS2,Action,3.54
60,The Getaway,PS2,Action,3.54
3308,Tomb Raider III: Adventures of Lara Croft,PS,Adventure,3.54
63,LEGO Star Wars: The Video Game,PS2,Action,3.53
64,Resident Evil 5,X360,Action,3.53
13785,James Bond 007: Agent Under Fire,PS2,Shooter,3.53
62,Assassin's Creed: Brotherhood,X360,Action,3.53
16542,FIFA Soccer 11,X360,Sports,3.52
65,Rugrats in Paris: The Movie,PS,Action,3.52
13786,Left 4 Dead,X360,Shooter,3.52
8610,Spyro 2: Ripto's Rage!,PS,Platform,3.52
16541,NBA 2K17,PS4,Sports,3.52
8611,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Platform,3.51
66,Kung Fu,NES,Action,3.5
16543,FIFA Soccer 2004,PS2,Sports,3.49
5296,Mortal Kombat X,PS4,Fighting,3.49
13788,Borderlands,X360,Shooter,3.48
13787,Battlefield: Bad Company 2,X360,Shooter,3.48
16544,Mario & Sonic at the Olympic Winter Games,DS,Sports,3.47
6267,Guitar Hero: On Tour,DS,Misc,3.46
8612,Super Mario Maker,WiiU,Platform,3.45
6268,Clubhouse Games,DS,Misc,3.45
3309,LEGO Batman: The Videogame,X360,Adventure,3.44
13789,Halo: The Master Chief Collection,XOne,Shooter,3.44
11967,Monster Hunter 4,3DS,Role-Playing,3.44
5297,Tekken 4,PS2,Fighting,3.44
8613,LittleBigPlanet 2,PS3,Platform,3.43
16545,FIFA 14,PS4,Sports,3.43
67,Grand Theft Auto 2,PS,Action,3.42
11968,Final Fantasy III,SNES,Role-Playing,3.42
68,Spider-Man 2,PS2,Action,3.41
15324,Animal Crossing: Happy Home Designer,3DS,Simulation,3.41
10452,F-1 Race,GB,Racing,3.41
13790,Destiny,XOne,Shooter,3.41
16546,FIFA Soccer 2003,PS2,Sports,3.4
6269,Crash Bash,PS,Misc,3.39
13791,Gears of War 4,XOne,Shooter,3.38
3310,The Legend of Zelda: Majora's Mask,N64,Adventure,3.36
5298,WWF War Zone,PS,Fighting,3.36
69,Watch Dogs 2,PS4,Action,3.36
11969,The Elder Scrolls V: Skyrim Special Edition,PS4,Role-Playing,3.36
3013,Assassin's Creed IV: Black Flag,X360,Action-Adventure,3.34
16547,NBA 2K18,PS4,Sports,3.34
3311,Rugrats: Search For Reptar,PS,Adventure,3.34
8614,Ratchet & Clank,PS2,Platform,3.33
13792,James Bond 007: Nightfire,PS2,Shooter,3.33
6270,English Training: Have Fun Improving Your Skills!,DS,Misc,3.33
3312,The Legend of Zelda: Spirit Tracks,DS,Adventure,3.32
70,Star Wars Episode III: Revenge of the Sith,PS2,Action,3.32
13793,Max Payne,PS2,Shooter,3.31
71,Resident Evil VII: Biohazard,PS4,Action,3.31
16548,Madden NFL 16,PS4,Sports,3.3
72,The Lord of the Rings: The Return of the King,PS2,Action,3.28
3313,Professor Layton and the Unwound Future,DS,Adventure,3.28
16549,Madden NFL 17,PS4,Sports,3.28
73,True Crime: Streets of LA,PS2,Action,3.27
10453,Gran Turismo (PSP),PSP,Racing,3.27
13794,Far Cry 3,PS3,Shooter,3.27
16550,FIFA 16,XOne,Sports,3.25
8374,Wii Music,Wii,Music,3.25
5299,Tekken,PS,Fighting,3.24
8615,Super Mario Maker,3DS,Platform,3.23
13795,007: Tomorrow Never Dies,PS,Shooter,3.21
3314,L.A. Noire,PS3,Adventure,3.21
5301,WWF SmackDown! 2: Know Your Role,PS,Fighting,3.2
16551,Baseball,NES,Sports,3.2
8529,Mario Party 9,Wii,Party,3.2
5300,Killer Instinct,SNES,Fighting,3.2
11971,Dragon Quest VI: Maboroshi no Daichi,SNES,Role-Playing,3.19
11970,Crisis Core: Final Fantasy VII,PSP,Role-Playing,3.19
74,God of War: Chains of Olympus,PSP,Action,3.19
3014,Assassin's Creed IV: Black Flag,PS4,Action-Adventure,3.19
75,Middle-Earth: Shadow of Mordor,PS4,Action,3.19
3015,Assassin's Creed Odyssey,PS4,Action-Adventure,3.18
8375,Dance Central,X360,Music,3.18
76,Enter the Matrix,PS2,Action,3.18
15325,Ace Combat 04: Shattered Skies,PS2,Simulation,3.17
11972,Fallout: New Vegas,PS3,Role-Playing,3.17
15326,Animal Crossing,GC,Simulation,3.15
16552,FIFA Soccer 08,PS2,Sports,3.14
16553,FIFA 18,XOne,Sports,3.14
3315,Club Penguin: Elite Penguin Force,DS,Adventure,3.14
77,Spider-Man,PS,Action,3.13
8616,Sonic Rush,DS,Platform,3.13
6271,Personal Trainer: Cooking,DS,Misc,3.13
78,Resident Evil 6,PS3,Action,3.12
13796,Tom Clancy's Ghost Recon Wildlands,PS4,Shooter,3.12
11973,The Elder Scrolls IV: Oblivion,PS3,Role-Playing,3.12
11974,Dragon Quest IV,NES,Role-Playing,3.12
10454,Need for Speed III: Hot Pursuit,PS,Racing,3.12
8376,Rhythm Heaven,DS,Music,3.12
10455,Star Wars Episode I Racer,N64,Racing,3.12
13797,Titanfall,XOne,Shooter,3.11
16554,NBA 2K13,X360,Sports,3.11
11975,Bloodborne,PS4,Role-Playing,3.11
11976,Mass Effect 2,X360,Role-Playing,3.1
5302,Dragon Ball Z: Budokai,PS2,Fighting,3.09
16555,Madden NFL 2002,PS2,Sports,3.08
16556,World Class Track Meet,NES,Sports,3.08
3316,LEGO Batman: The Videogame,Wii,Adventure,3.08
79,Saints Row 2,X360,Action,3.07
8617,Donkey Kong,GB,Platform,3.07
15327,The Sims: Vacation,PC,Simulation,3.07
13798,Call of Duty: Ghosts,XOne,Shooter,3.07
3318,LEGO Batman: The Videogame,DS,Adventure,3.06
13799,Borderlands 2,X360,Shooter,3.06
3317,Heavy Rain,PS3,Adventure,3.06
8618,Kung Fu Panda,X360,Platform,3.05
11977,Mass Effect 3,X360,Role-Playing,3.04
80,Metal Gear Solid V: The Phantom Pain,PS4,Action,3.04
8619,Rayman,PS,Platform,3.03
81,Tom Clancy's Splinter Cell,XB,Action,3.02
8620,Disney Epic Mickey,Wii,Platform,3.02
5303,Mike Tyson's Punch-Out!!,NES,Fighting,3.02
13801,Killzone 2,PS3,Shooter,3.02
16557,WWE SmackDown! Shut Your Mouth,PS2,Sports,3.02
13800,Killzone: Shadow Fall,PS4,Shooter,3.02
3016,inFAMOUS: Second Son,PS4,Action-Adventure,3.01
5305,WWE SmackDown! vs. Raw 2006,PS2,Fighting,3.0
5304,Dragon Ball Z: Budokai Tenkaichi 3,PS2,Fighting,3.0
13802,Star Fox,SNES,Shooter,2.99
