,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,multiplayer,singleplayer,viewconut,likecount,commentcount,videotitle,published,description
10,10,10,10,11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,True,True,289303.0,1764.0,579.0,Nintendogs + Cats 3DS Video Review,2011-03-23T20:25:56Z,"IGN gives its video review of Nintendogs + Cats for the Nintendo 3DS. Is the cutest 3D game worth playing if you already own a digital puppy?

IGN's YouTube is just a taste of our content. Get more:
http://www.ign.com

Want this week's top videos? Sign up:
http://go.ign.com/VideoRound-up"
11,11,11,11,12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,True,True,187843.0,1011.0,284.0,Mario Kart DS Nintendo DS Review - Video Review,2011-06-23T10:02:30Z,None
12,12,12,12,13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,,,872057.0,3290.0,2644.0,Pokemon HeartGold and SoulSilver Review,2010-03-13T00:44:44Z,Find out if this Game Boy Color remake is worth the double dip. Read the full review here - http://ds.ign.com/objects/143/14348189.html
13,13,13,13,14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,False,True,22101.0,172.0,21.0,Wii Fit Nintendo Wii Review - Video Review,2011-06-23T10:02:30Z,None
14,14,14,14,15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,True,True,1087535.0,2096.0,526.0,Wii Fit Plus Review,2009-10-03T01:39:53Z,Is it time to get off the couch and on the Balance Board? Read the full review at http://wii.ign.com/articles/103/1031024p1.html
15,15,15,15,16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,True,True,324823.0,444.0,362.0,Kinect Adventures Video Review,2010-11-04T06:33:20Z,"The IGN video review of the Kinect mini game pack. Can this included Kinect game please both kids and parents like Wii Sports once did?

IGN's YouTube is just a taste of our content. Get more:
http://www.ign.com

Want this week's top videos? Sign up:
http://go.ign.com/VideoRound-up"
16,16,16,16,17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,True,True,3903632.0,51696.0,14172.0,GTA 5 - Review,2013-09-16T14:26:01Z,Rockstar drops the mic on this generation of games. Watch our review of the masterly GTA V.
17,17,17,17,18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,True,True,360791.0,3515.0,638.0,Grand Theft Auto San Andreas HD Review Commentary,2014-10-31T01:01:04Z,A good way to experience a great old game.
18,18,18,18,19,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,True,True,564486.0,5805.0,3051.0,Super Mario 3D World + Bowser's Fury Review,2021-02-10T14:00:04Z,"Reviewed by Cam Shea on Nintendo Switch.

""Super Mario 3D World + Bowser's Fury packs a tonne of engaging gameplay, but neither component comes together as elegantly as it might have done. This is a solid option if you're craving more Super Mario for your Switch, but it's not the moustachioed must-play I was hoping for."""
19,19,19,19,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,True,True,3682.0,11.0,4.0,Brain Age 2: More Training in Minutes a Day Nintendo DS,2011-05-20T23:22:12Z,None
20,20,20,20,21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,,,740659.0,14690.0,1178.0,Pokémon Brilliant Diamond and Shining Pearl Review,2021-11-19T23:13:45Z,"Pokémon Brilliant Diamond and Shining Pearl reviewed by Rebekah Valentine on Nintendo Switch.

Like the themes of its story, Game Freak's newest Pokemon remakes (developed by ILCA) are solid and enduring - leaning on the past, with all of its triumphs and tripwires.

#IGN #Gaming #Pokemon"
21,21,21,21,22,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,False,True,738728.0,4745.0,2128.0,IGN Reviews - Super Mario 3D Land Game Review,2011-11-15T23:05:18Z,"IGN gives its review of the new Nintendo 3DS game Super Mario 3D. Can Super Mario 3D Land rank amongst the best Mario games?
Get more Mario at IGN:
http://ds.ign.com/objects/099/099437.html"
22,22,22,22,23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,True,True,76117.0,1849.0,584.0,Why Super Mario Bros. 3 is the Greatest Game Ever Made,2015-10-17T02:00:00Z,"After a bunch of debates and ranking, Super Mario Bros. 3 takes the top spot in our Top 100 Video Games of All Time list. Find out which games made the list here: http://www.ign.com/top/top-100-games"
23,23,23,23,24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,True,True,3903632.0,51696.0,14172.0,GTA 5 - Review,2013-09-16T14:26:01Z,Rockstar drops the mic on this generation of games. Watch our review of the masterly GTA V.
24,24,24,24,25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,False,True,286821.0,5671.0,968.0,Grand Theft Auto Vice City: Definitive Edition - First 16 Minutes of Gameplay on PS5 (4K),2021-11-11T07:58:43Z,"Check out the opening moments of GTA: Vice City, now enhanced for a whole new generation. Taking place in the 1980s, this installment has you stealing more than 120 unique era-appropriate vehicles and you'll have in excess of 40 weapons at your disposal to handle the dirty work.

Celebrating 20 years of Grand Theft Auto III, the game that set a new standard for freedom and immersion in play, the Grand Theft Auto: The Trilogy -- The Definitive Edition brings back classic GTAs with across-the-board upgrades including graphical improvements and modern gameplay enhancements. Grand Theft Auto: The Trilogy - The Definitive Edition is coming to PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S, PC, and Nintendo Switch."
25,25,25,25,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,818059.0,5420.0,7931.0,Pokemon Alpha Sapphire/Omega Ruby Review,2014-11-18T22:43:43Z,"As a 3D remake, Pokémon Alpha Sapphire and Omega Ruby do a fantastic job of reintroducing Hoenn."
26,26,26,26,27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,,,905900.0,5385.0,4943.0,Pokemon Black & White Video Review,2011-03-06T17:04:53Z,"IGN gives its video review of the new Pokemon Black & White for Nintendo DS. Don't dismiss it as just the same same, it just may be the best Pokemon game ever.

IGN's YouTube is just a taste of our content. Get more:
http://www.ign.com

Want this week's top videos? Sign up:
http://go.ign.com/VideoRound-up"
27,27,27,27,28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,True,True,604.0,2.0,1.0,Brain Age 2: More Training in Minutes a Day,2011-05-23T05:51:54Z,None
28,28,28,28,29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,True,True,49.0,1.0,0.0,Gran Turismo 3 A-spec PlayStation 2 Gameplay_2001_01_02_11,2011-05-20T08:43:10Z,None
29,29,29,29,30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,True,True,1464748.0,9526.0,21334.0,IGN Reviews - Modern Warfare 3 Game Review,2011-11-08T08:00:00Z,"IGN gives its review of Modern Warfare 3. Can the latest Call of Duty live up to the history of epic shooter games in this series?

For more Modern Warfare news, info and videos, visit the following:

Modern Warfare 3 on IGN.com:
http://xbox360.ign.com/objects/069/069475.html

CallofDutyIGN's Youtube channel:
http://www.youtube.com/callofdutyign

IGN's Call of Duty Wiki:
http://www.ign.com/wikis/call-of-duty-modern-warfare-3"
30,30,30,30,31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,True,True,16646.0,161.0,29.0,Pokemon Yellow: Special Pikachu Edition Official Launch Trailer,2016-02-29T20:30:00Z,"The Game Boy Color classic finally comes to the 3DS Virtual Console.

------------------------------­----
Follow IGN for more!
------------------------------­----

IGN OFFICIAL APP: http://www.ign.com/mobile
FACEBOOK: https://www.facebook.com/ign
TWITTER: https://twitter.com/ign
INSTAGRAM: https://instagram.com/igndotcom/?hl=en
WEBSITE: http://www.ign.com/
GOOGLE+: https://plus.google.com/+IGN"
31,31,31,31,32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,True,True,1481593.0,7545.0,12067.0,Call of Duty: Black Ops: Video Review,2010-11-09T08:25:21Z,"Black Ops is here! IGN gives its video review for the next long awaited Call of Duty.  Will Black Ops top the Modern Warfare reign?

IGN's YouTube is just a taste of our content. Get more:
http://www.ign.com

Want this week's top videos? Sign up:
http://go.ign.com/VideoRound-up"
32,32,32,32,33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,,,1515792.0,14176.0,4975.0,IGN Reviews - Pokemon X and Y - Review,2013-10-04T19:34:39Z,"Pokemon X and Y makes a successful transition to a 3D world and adds some impressive depth to its online features.

------------------------------­----
Follow IGN for more!
------------------------------­----

YOUTUBE: https://www.youtube.com/user/ignentertainment?sub_confirmation=1
IGN OFFICIAL APP: http://www.ign.com/mobile
FACEBOOK: https://www.facebook.com/ign
TWITTER: https://twitter.com/ign
INSTAGRAM: https://instagram.com/igndotcom/?hl=en
WEBSITE: http://www.ign.com/
GOOGLE+: https://plus.google.com/+IGN"
33,33,33,33,34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,True,True,1358591.0,13678.0,6553.0,Call of Duty: Black Ops 3 Review,2015-11-07T22:42:20Z,"All three modes - multiplayer, the co-op campaign, and an upgraded Zombies - come together beautifully with interesting and fun new features.

Subscribe to IGN for more!
https://www.youtube.com/user/ignentertainment?sub_confirmation=1"
34,34,34,34,35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,True,True,1589474.0,15606.0,19986.0,Black Ops 2 Review - IGN Reviews,2012-11-13T08:01:04Z,"Head to IGNGameplay for our full campaign walkthrough
http://bit.ly/QCzH1h

The biggest shooter of the year is finally here, but how does it stand up to what's come before?

Subscribe to IGN's channel for reviews, news, and all things gaming:
http://www.youtube.com/subscription_center?add_user=ignentertainment

Black Ops 2 Video Review - IGN Reviews"
35,35,35,35,36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,True,True,1589474.0,15606.0,19986.0,Black Ops 2 Review - IGN Reviews,2012-11-13T08:01:04Z,"Head to IGNGameplay for our full campaign walkthrough
http://bit.ly/QCzH1h

The biggest shooter of the year is finally here, but how does it stand up to what's come before?

Subscribe to IGN's channel for reviews, news, and all things gaming:
http://www.youtube.com/subscription_center?add_user=ignentertainment

Black Ops 2 Video Review - IGN Reviews"
36,36,36,36,37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,True,True,2547203.0,12353.0,11949.0,Call of Duty: Modern Warfare 2 Review,2009-11-10T18:10:43Z,It's set to be one of the biggest selling games of all time. Is it one of the greatest? Read the full review at IGN http://xbox360.ign.com/articles/104/1043366p1.html
37,37,37,37,38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,True,True,1464748.0,9526.0,21334.0,IGN Reviews - Modern Warfare 3 Game Review,2011-11-08T08:00:00Z,"IGN gives its review of Modern Warfare 3. Can the latest Call of Duty live up to the history of epic shooter games in this series?

For more Modern Warfare news, info and videos, visit the following:

Modern Warfare 3 on IGN.com:
http://xbox360.ign.com/objects/069/069475.html

CallofDutyIGN's Youtube channel:
http://www.youtube.com/callofdutyign

IGN's Call of Duty Wiki:
http://www.ign.com/wikis/call-of-duty-modern-warfare-3"
38,38,38,38,39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,False,True,35678.0,769.0,128.0,Why 3D Made the GTA Franchise Better in GTA 3,2015-11-10T17:30:00Z,"GTA was already a fan favorite, but it wasn't until GTA 3 that we really saw the scope of what the series can do.

Watch the full episode here!
https://www.youtube.com/watch?v=YUwFZqU4028&index=1&list=PLraFbwCoisJC9DwKwxKIZlza8SJhwgQzt"
39,39,39,39,40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,True,True,295256.0,2044.0,1450.0,Super Smash Bros. Brawl Review,2008-08-06T04:27:08Z,One of the most anticipated Nintendo games ever made is finally here. Has it been worth the wait?
40,40,40,40,41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,True,True,1481593.0,7545.0,12067.0,Call of Duty: Black Ops: Video Review,2010-11-09T08:25:21Z,"Black Ops is here! IGN gives its video review for the next long awaited Call of Duty.  Will Black Ops top the Modern Warfare reign?

IGN's YouTube is just a taste of our content. Get more:
http://www.ign.com

Want this week's top videos? Sign up:
http://go.ign.com/VideoRound-up"
41,41,41,41,42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,True,True,106432.0,1015.0,179.0,Animal Crossing: Wild World Nintendo DS Review - Video,2011-06-23T10:02:30Z,None
42,42,42,42,43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,True,True,721645.0,4362.0,2657.0,IGN Reviews - Mario Kart 7: Video Review [3DS],2011-11-29T08:00:00Z,"The classic kart racing franchise zooms onto the Nintendo 3DS with a large collection characters and tracks for you to plow through. But does the title live up to the sterling reputation of its predecessors or is it just spinning its wheels in the mud? Watch our video review and find out!

For more Mario Kart 7 info, check out IGN:
http://ds.ign.com/objects/077/077805.html"
43,43,43,43,44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,True,True,416376.0,2568.0,1719.0,Halo 3 Video Review: Legendary Edition,2008-08-05T18:41:38Z,The fight is finished. Anyone got a cigarette?
44,44,44,44,45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,True,True,3903632.0,51696.0,14172.0,GTA 5 - Review,2013-09-16T14:26:01Z,Rockstar drops the mic on this generation of games. Watch our review of the masterly GTA V.
45,45,45,45,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,,,872057.0,3290.0,2644.0,Pokemon HeartGold and SoulSilver Review,2010-03-13T00:44:44Z,Find out if this Game Boy Color remake is worth the double dip. Read the full review here - http://ds.ign.com/objects/143/14348189.html
46,46,46,46,47,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,True,True,59818.0,1429.0,235.0,Why Super Mario 64 Is My Favorite Game,2014-02-11T17:00:08Z,Daemon Hatfield discusses why Super Mario 64 is his favorite game of all-time.
47,47,47,47,48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,True,True,28925.0,361.0,39.0,Gran Turismo 4 PlayStation 2 Review - Video Review,2011-06-23T10:02:30Z,None
48,48,48,48,49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,True,True,647593.0,3619.0,1605.0,Super Mario Galaxy Video Review,2008-08-05T20:58:43Z,The greatest Nintendo platformer ever made?
49,49,49,49,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,,,818059.0,5420.0,7931.0,Pokemon Alpha Sapphire/Omega Ruby Review,2014-11-18T22:43:43Z,"As a 3D remake, Pokémon Alpha Sapphire and Omega Ruby do a fantastic job of reintroducing Hoenn."
50,50,50,50,51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,False,True,118787.0,1425.0,144.0,Super Mario Land 2: 6 Golden Coins Finished in 7 Minutes,2016-06-28T21:00:00Z,"Chris Grant, a member of the charity speedrun organization Game Done Quick team, stopped by IGN to show us a blazing fast run through the second Super Mario Land on Game Boy. Make sure you check out Summer Games Done Quick next week!

------------------------------­----
Follow IGN for more!
------------------------------­----

YOUTUBE: https://www.youtube.com/user/ignentertainment?sub_confirmation=1
IGN OFFICIAL APP: http://www.ign.com/mobile
FACEBOOK: https://www.facebook.com/ign
TWITTER: https://twitter.com/ign
INSTAGRAM: https://instagram.com/igndotcom/?hl=en
WEBSITE: http://www.ign.com/
GOOGLE+: https://plus.google.com/+IGN"
51,51,51,51,52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,True,True,3365604.0,26137.0,11491.0,Grand Theft Auto IV Review,2008-08-05T04:28:07Z,Watch Hilary Goldstein's review of Grand Theft Auto 4.
52,52,52,52,53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,,,1385560.0,11290.0,2470.0,Gran Turismo Sport Review,2017-10-20T03:00:53Z,"GT Sport gets its online racing right but can't keep up with its contemporaries elsewhere.

Watch more reviews on 2017's biggest racing games:

Forza Motorsport 7 Review: https://www.youtube.com/watch?v=k0jbv3kJkJQ

Project Cars 2 Review: https://www.youtube.com/watch?v=XksuuEgqubo

Dirt 4 Review: https://www.youtube.com/watch?v=PpjDfTFmp3k

Subscribe to IGN for more!
http://www.youtube.com/user/IGNentertainment?sub_confirmation=1

------------------------------­----
Follow IGN for more!
------------------------------­----

YOUTUBE: https://www.youtube.com/user/ignentertainment?sub_confirmation=1
IGN OFFICIAL APP: http://www.ign.com/mobile
FACEBOOK: https://www.facebook.com/ign
TWITTER: https://twitter.com/ign
INSTAGRAM: https://instagram.com/igndotcom/?hl=en
WEBSITE: http://www.ign.com/
GOOGLE+: https://plus.google.com/+IGN"
53,53,53,53,54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,False,True,738728.0,4745.0,2128.0,IGN Reviews - Super Mario 3D Land Game Review,2011-11-15T23:05:18Z,"IGN gives its review of the new Nintendo 3DS game Super Mario 3D. Can Super Mario 3D Land rank amongst the best Mario games?
Get more Mario at IGN:
http://ds.ign.com/objects/099/099437.html"
54,54,54,54,55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,True,True,542149.0,2866.0,3145.0,Gran Turismo 5 Video Review,2010-12-03T23:20:56Z,"IGN gives its video review of the PS3 exclusvie GT5. IGN played Gran Turismo 5 until the tires fell off,  now here's our video verdict on the impressive car simulator.

IGN's YouTube is just a taste of our content. Get more:
http://www.ign.com

Want this week's top videos? Sign up:
http://go.ign.com/VideoRound-up"
55,55,55,55,56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,True,True,2547203.0,12353.0,11949.0,Call of Duty: Modern Warfare 2 Review,2009-11-10T18:10:43Z,It's set to be one of the biggest selling games of all time. Is it one of the greatest? Read the full review at IGN http://xbox360.ign.com/articles/104/1043366p1.html
56,56,56,56,57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,True,True,3365604.0,26137.0,11491.0,Grand Theft Auto IV Review,2008-08-05T04:28:07Z,Watch Hilary Goldstein's review of Grand Theft Auto 4.
57,57,57,57,58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,True,True,401783.0,7237.0,1456.0,Should You Buy Super Mario 3D All-Stars?,2020-09-16T13:00:13Z,"Three Nintendo classics arrive on the Switch! Ports of Super Mario 64, Super Mario Sunshine, and Super Mario Galaxy  await in this new collection. But with so few bells and whistles, is it worth your cash? This analysis will help you decide! 

It should be noted that the means by which Nintendo has chosen to port these games to the Switch is by emulating the old consoles, which explains a lot about the lack of upgrades. But for nearly all intents and purposes, the effect is the same."
58,58,58,58,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,10148.0,35.0,3.0,Pokemon FireRed Version Game Boy Gameplay_2004_08_31_4,2011-06-23T10:02:30Z,None
59,59,59,59,60,Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,True,True,59818.0,1429.0,235.0,Why Super Mario 64 Is My Favorite Game,2014-02-11T17:00:08Z,Daemon Hatfield discusses why Super Mario 64 is his favorite game of all-time.
60,60,60,60,61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,,,45803.0,400.0,156.0,Dance Central 3 Video Review - IGN Reviews,2012-10-15T13:00:19Z,"Click here for the trailer
http://bit.ly/OZl1J4

Usher teaches IGN to dance and Harmonix presents time travel in Dance Central 3.

Subscribe to IGN's channel for reviews, news, and all things gaming:
http://www.youtube.com/subscription_center?add_user=ignentertainment

Dance Central 3 Video Review - IGN Reviews"
61,61,61,61,62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,True,True,1185463.0,9445.0,8339.0,IGN Reviews - Call of Duty: Ghosts - Review,2013-11-05T08:00:01Z,Does the first next-gen Call of Duty live up to expectations?
62,62,62,62,63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,True,True,1541459.0,12101.0,13678.0,Halo: Reach Review,2010-09-12T04:24:31Z,The verdict is in. Watch and learn how Bungie's last Halo game turned out.
63,63,63,63,64,Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,True,True,25528.0,430.0,86.0,Mario Kart 64 - IGN Plays,2014-08-28T22:00:05Z,"To celebrate Nintendo's 125th anniversary, we're spending time with some of the best games The Big N ever made."
64,64,64,64,65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,True,True,66273.0,451.0,170.0,New Super Mario Bros. 2 - Impossible and Mystery Adventures DLC Trailer,2012-12-19T17:00:43Z,"Click here for our New Super Mario Bros. U review
http://bit.ly/V4g3qn

Take a look at the final set of DLC packs for New Super Mario Bros. 2 - including the most difficult of them all.

Subscribe to IGN's channel for reviews, news, and all things gaming:
http://www.youtube.com/subscription_center?add_user=ignentertainment

New Super Mario Bros. 2 - Impossible and Mystery Adventures DLC Trailer"
