Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;multiplayer;singleplayer;viewconut;likecount;commentcount;videotitle;published
11;Nintendogs;DS;2005.0;Simulation;Nintendo;9.07;11.0;1.93;2.75;24.76;TRUE;TRUE;289303.0;1764.0;579.0;Nintendogs + Cats 3DS Video Review;2011-03-23T20:25:56Z
12;Mario Kart DS;DS;2005.0;Racing;Nintendo;9.81;7.57;4.13;1.92;23.42;TRUE;TRUE;187843.0;1011.0;284.0;Mario Kart DS Nintendo DS Review - Video Review;2011-06-23T10:02:30Z
13;Pokemon Gold/Pokemon Silver;GB;1999.0;Role-Playing;Nintendo;9.0;6.18;7.2;0.71;23.1;;;872057.0;3290.0;2644.0;Pokemon HeartGold and SoulSilver Review;2010-03-13T00:44:44Z
14;Wii Fit;Wii;2007.0;Sports;Nintendo;8.94;8.03;3.6;2.15;22.72;FALSE;TRUE;22101.0;172.0;21.0;Wii Fit Nintendo Wii Review - Video Review;2011-06-23T10:02:30Z
15;Wii Fit Plus;Wii;2009.0;Sports;Nintendo;9.09;8.59;2.53;1.79;22.0;TRUE;TRUE;1087535.0;2096.0;526.0;Wii Fit Plus Review;2009-10-03T01:39:53Z
16;Kinect Adventures!;X360;2010.0;Misc;Microsoft Game Studios;14.97;4.94;0.24;1.67;21.82;TRUE;TRUE;324823.0;444.0;362.0;Kinect Adventures Video Review;2010-11-04T06:33:20Z
17;Grand Theft Auto V;PS3;2013.0;Action;Take-Two Interactive;7.01;9.27;0.97;4.14;21.4;TRUE;TRUE;3903632.0;51696.0;14172.0;GTA 5 - Review;2013-09-16T14:26:01Z
18;Grand Theft Auto: San Andreas;PS2;2004.0;Action;Take-Two Interactive;9.43;0.4;0.41;10.57;20.81;TRUE;TRUE;360791.0;3515.0;638.0;Grand Theft Auto San Andreas HD Review Commentary;2014-10-31T01:01:04Z
19;Super Mario World;SNES;1990.0;Platform;Nintendo;12.78;3.75;3.54;0.55;20.61;TRUE;TRUE;564486.0;5805.0;3051.0;Super Mario 3D World + Bowser's Fury Review;2021-02-10T14:00:04Z
20;Brain Age: Train Your Brain in Minutes a Day;DS;2005.0;Misc;Nintendo;4.75;9.26;4.16;2.05;20.22;TRUE;TRUE;3682.0;11.0;4.0;Brain Age 2: More Training in Minutes a Day Nintendo DS;2011-05-20T23:22:12Z
21;Pokemon Diamond/Pokemon Pearl;DS;2006.0;Role-Playing;Nintendo;6.42;4.52;6.04;1.37;18.36;;;740659.0;14690.0;1178.0;Pokémon Brilliant Diamond and Shining Pearl Review;2021-11-19T23:13:45Z
22;Super Mario Land;GB;1989.0;Platform;Nintendo;10.83;2.71;4.18;0.42;18.14;FALSE;TRUE;738728.0;4745.0;2128.0;IGN Reviews - Super Mario 3D Land Game Review;2011-11-15T23:05:18Z
23;Super Mario Bros. 3;NES;1988.0;Platform;Nintendo;9.54;3.44;3.84;0.46;17.28;TRUE;TRUE;76117.0;1849.0;584.0;Why Super Mario Bros. 3 is the Greatest Game Ever Made;2015-10-17T02:00:00Z
24;Grand Theft Auto V;X360;2013.0;Action;Take-Two Interactive;9.63;5.31;0.06;1.38;16.38;TRUE;TRUE;3903632.0;51696.0;14172.0;GTA 5 - Review;2013-09-16T14:26:01Z
25;Grand Theft Auto: Vice City;PS2;2002.0;Action;Take-Two Interactive;8.41;5.49;0.47;1.78;16.15;FALSE;TRUE;286821.0;5671.0;968.0;Grand Theft Auto Vice City: Definitive Edition - First 16 Minutes of Gameplay on PS5 (4K);2021-11-11T07:58:43Z
26;Pokemon Ruby/Pokemon Sapphire;GBA;2002.0;Role-Playing;Nintendo;6.06;3.9;5.38;0.5;15.85;;;818059.0;5420.0;7931.0;Pokemon Alpha Sapphire/Omega Ruby Review;2014-11-18T22:43:43Z
27;Pokemon Black/Pokemon White;DS;2010.0;Role-Playing;Nintendo;5.57;3.28;5.65;0.82;15.32;;;905900.0;5385.0;4943.0;Pokemon Black & White Video Review;2011-03-06T17:04:53Z
28;Brain Age 2: More Training in Minutes a Day;DS;2005.0;Puzzle;Nintendo;3.44;5.36;5.32;1.18;15.3;TRUE;TRUE;604.0;2.0;1.0;Brain Age 2: More Training in Minutes a Day;2011-05-23T05:51:54Z
29;Gran Turismo 3: A-Spec;PS2;2001.0;Racing;Sony Computer Entertainment;6.85;5.09;1.87;1.16;14.98;TRUE;TRUE;49.0;1.0;0.0;Gran Turismo 3 A-spec PlayStation 2 Gameplay_2001_01_02_11;2011-05-20T08:43:10Z
30;Call of Duty: Modern Warfare 3;X360;2011.0;Shooter;Activision;9.03;4.28;0.13;1.32;14.76;TRUE;TRUE;1464748.0;9526.0;21334.0;IGN Reviews - Modern Warfare 3 Game Review;2011-11-08T08:00:00Z
31;Pokémon Yellow: Special Pikachu Edition;GB;1998.0;Role-Playing;Nintendo;5.89;5.04;3.12;0.59;14.64;TRUE;TRUE;16646.0;161.0;29.0;Pokemon Yellow: Special Pikachu Edition Official Launch Trailer;2016-02-29T20:30:00Z
32;Call of Duty: Black Ops;X360;2010.0;Shooter;Activision;9.67;3.73;0.11;1.13;14.64;TRUE;TRUE;1481593.0;7545.0;12067.0;Call of Duty: Black Ops: Video Review;2010-11-09T08:25:21Z
33;Pokemon X/Pokemon Y;3DS;2013.0;Role-Playing;Nintendo;5.17;4.05;4.34;0.79;14.35;;;1515792.0;14176.0;4975.0;IGN Reviews - Pokemon X and Y - Review;2013-10-04T19:34:39Z
34;Call of Duty: Black Ops 3;PS4;2015.0;Shooter;Activision;5.77;5.81;0.35;2.31;14.24;TRUE;TRUE;1358591.0;13678.0;6553.0;Call of Duty: Black Ops 3 Review;2015-11-07T22:42:20Z
35;Call of Duty: Black Ops II;PS3;2012.0;Shooter;Activision;4.99;5.88;0.65;2.52;14.03;TRUE;TRUE;1589474.0;15606.0;19986.0;Black Ops 2 Review - IGN Reviews;2012-11-13T08:01:04Z
36;Call of Duty: Black Ops II;X360;2012.0;Shooter;Activision;8.25;4.3;0.07;1.12;13.73;TRUE;TRUE;1589474.0;15606.0;19986.0;Black Ops 2 Review - IGN Reviews;2012-11-13T08:01:04Z
37;Call of Duty: Modern Warfare 2;X360;2009.0;Shooter;Activision;8.52;3.63;0.08;1.29;13.51;TRUE;TRUE;2547203.0;12353.0;11949.0;Call of Duty: Modern Warfare 2 Review;2009-11-10T18:10:43Z
38;Call of Duty: Modern Warfare 3;PS3;2011.0;Shooter;Activision;5.54;5.82;0.49;1.62;13.46;TRUE;TRUE;1464748.0;9526.0;21334.0;IGN Reviews - Modern Warfare 3 Game Review;2011-11-08T08:00:00Z
39;Grand Theft Auto III;PS2;2001.0;Action;Take-Two Interactive;6.99;4.51;0.3;1.3;13.1;FALSE;TRUE;35678.0;769.0;128.0;Why 3D Made the GTA Franchise Better in GTA 3;2015-11-10T17:30:00Z
40;Super Smash Bros. Brawl;Wii;2008.0;Fighting;Nintendo;6.75;2.61;2.66;1.02;13.04;TRUE;TRUE;295256.0;2044.0;1450.0;Super Smash Bros. Brawl Review;2008-08-06T04:27:08Z
41;Call of Duty: Black Ops;PS3;2010.0;Shooter;Activision;5.98;4.44;0.48;1.83;12.73;TRUE;TRUE;1481593.0;7545.0;12067.0;Call of Duty: Black Ops: Video Review;2010-11-09T08:25:21Z
42;Animal Crossing: Wild World;DS;2005.0;Simulation;Nintendo;2.55;3.52;5.33;0.88;12.27;TRUE;TRUE;106432.0;1015.0;179.0;Animal Crossing: Wild World Nintendo DS Review - Video;2011-06-23T10:02:30Z
43;Mario Kart 7;3DS;2011.0;Racing;Nintendo;4.74;3.91;2.67;0.89;12.21;TRUE;TRUE;721645.0;4362.0;2657.0;IGN Reviews - Mario Kart 7: Video Review [3DS];2011-11-29T08:00:00Z
44;Halo 3;X360;2007.0;Shooter;Microsoft Game Studios;7.97;2.83;0.13;1.21;12.14;TRUE;TRUE;416376.0;2568.0;1719.0;Halo 3 Video Review: Legendary Edition;2008-08-05T18:41:38Z
45;Grand Theft Auto V;PS4;2014.0;Action;Take-Two Interactive;3.8;5.81;0.36;2.02;11.98;TRUE;TRUE;3903632.0;51696.0;14172.0;GTA 5 - Review;2013-09-16T14:26:01Z
46;Pokemon HeartGold/Pokemon SoulSilver;DS;2009.0;Action;Nintendo;4.4;2.77;3.96;0.77;11.9;;;872057.0;3290.0;2644.0;Pokemon HeartGold and SoulSilver Review;2010-03-13T00:44:44Z
47;Super Mario 64;N64;1996.0;Platform;Nintendo;6.91;2.85;1.91;0.23;11.89;TRUE;TRUE;59818.0;1429.0;235.0;Why Super Mario 64 Is My Favorite Game;2014-02-11T17:00:08Z
48;Gran Turismo 4;PS2;2004.0;Racing;Sony Computer Entertainment;3.01;0.01;1.1;7.53;11.66;TRUE;TRUE;28925.0;361.0;39.0;Gran Turismo 4 PlayStation 2 Review - Video Review;2011-06-23T10:02:30Z
49;Super Mario Galaxy;Wii;2007.0;Platform;Nintendo;6.16;3.4;1.2;0.76;11.52;TRUE;TRUE;647593.0;3619.0;1605.0;Super Mario Galaxy Video Review;2008-08-05T20:58:43Z
50;Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;2014.0;Role-Playing;Nintendo;4.23;3.37;3.08;0.65;11.33;;;818059.0;5420.0;7931.0;Pokemon Alpha Sapphire/Omega Ruby Review;2014-11-18T22:43:43Z
51;Super Mario Land 2: 6 Golden Coins;GB;1992.0;Adventure;Nintendo;6.16;2.04;2.69;0.29;11.18;FALSE;TRUE;118787.0;1425.0;144.0;Super Mario Land 2: 6 Golden Coins Finished in 7 Minutes;2016-06-28T21:00:00Z
52;Grand Theft Auto IV;X360;2008.0;Action;Take-Two Interactive;6.76;3.1;0.14;1.03;11.02;TRUE;TRUE;3365604.0;26137.0;11491.0;Grand Theft Auto IV Review;2008-08-05T04:28:07Z
53;Gran Turismo;PS;1997.0;Racing;Sony Computer Entertainment;4.02;3.87;2.54;0.52;10.95;;;1385560.0;11290.0;2470.0;Gran Turismo Sport Review;2017-10-20T03:00:53Z
54;Super Mario 3D Land;3DS;2011.0;Platform;Nintendo;4.89;2.99;2.13;0.78;10.79;FALSE;TRUE;738728.0;4745.0;2128.0;IGN Reviews - Super Mario 3D Land Game Review;2011-11-15T23:05:18Z
55;Gran Turismo 5;PS3;2010.0;Racing;Sony Computer Entertainment;2.96;4.88;0.81;2.12;10.77;TRUE;TRUE;542149.0;2866.0;3145.0;Gran Turismo 5 Video Review;2010-12-03T23:20:56Z
56;Call of Duty: Modern Warfare 2;PS3;2009.0;Shooter;Activision;4.99;3.69;0.38;1.63;10.69;TRUE;TRUE;2547203.0;12353.0;11949.0;Call of Duty: Modern Warfare 2 Review;2009-11-10T18:10:43Z
57;Grand Theft Auto IV;PS3;2008.0;Action;Take-Two Interactive;4.76;3.76;0.44;1.62;10.57;TRUE;TRUE;3365604.0;26137.0;11491.0;Grand Theft Auto IV Review;2008-08-05T04:28:07Z
58;Super Mario All-Stars;SNES;1993.0;Platform;Nintendo;5.99;2.15;2.12;0.29;10.55;TRUE;TRUE;401783.0;7237.0;1456.0;Should You Buy Super Mario 3D All-Stars?;2020-09-16T13:00:13Z
59;Pokemon FireRed/Pokemon LeafGreen;GBA;2004.0;Role-Playing;Nintendo;4.34;2.65;3.15;0.35;10.49;;;10148.0;35.0;3.0;Pokemon FireRed Version Game Boy Gameplay_2004_08_31_4;2011-06-23T10:02:30Z
60;Super Mario 64;DS;2004.0;Platform;Nintendo;5.08;3.11;1.25;0.98;10.42;TRUE;TRUE;59818.0;1429.0;235.0;Why Super Mario 64 Is My Favorite Game;2014-02-11T17:00:08Z
61;Just Dance 3;Wii;2011.0;Misc;Ubisoft;6.05;3.15;0.0;1.07;10.26;;;45803.0;400.0;156.0;Dance Central 3 Video Review - IGN Reviews;2012-10-15T13:00:19Z
62;Call of Duty: Ghosts;X360;2013.0;Shooter;Activision;6.72;2.63;0.04;0.82;10.21;TRUE;TRUE;1185463.0;9445.0;8339.0;IGN Reviews - Call of Duty: Ghosts - Review;2013-11-05T08:00:01Z
63;Halo: Reach;X360;2010.0;Shooter;Microsoft Game Studios;7.03;1.98;0.08;0.78;9.88;TRUE;TRUE;1541459.0;12101.0;13678.0;Halo: Reach Review;2010-09-12T04:24:31Z
64;Mario Kart 64;N64;1996.0;Racing;Nintendo;5.55;1.94;2.23;0.15;9.87;TRUE;TRUE;25528.0;430.0;86.0;Mario Kart 64 - IGN Plays;2014-08-28T22:00:05Z
65;New Super Mario Bros. 2;3DS;2012.0;Platform;Nintendo;3.66;3.07;2.47;0.63;9.82;TRUE;TRUE;66273.0;451.0;170.0;New Super Mario Bros. 2 - Impossible and Mystery Adventures DLC Trailer;2012-12-19T17:00:43Z
66;Halo 4;X360;2012.0;Shooter;Microsoft Game Studios;6.63;2.36;0.04;0.73;9.76;TRUE;TRUE;2476392.0;25405.0;22366.0;Halo 4 Review - IGN Reviews;2012-11-01T07:00:54Z
67;Final Fantasy VII;PS;1997.0;Role-Playing;Sony Computer Entertainment;3.01;2.47;3.28;0.96;9.72;FALSE;TRUE;1385342.0;19222.0;5997.0;Final Fantasy 7 Remake Review;2020-04-06T10:00:34Z
68;Call of Duty: Ghosts;PS3;2013.0;Shooter;Activision;4.09;3.73;0.38;1.38;9.59;TRUE;TRUE;1185463.0;9445.0;8339.0;IGN Reviews - Call of Duty: Ghosts - Review;2013-11-05T08:00:01Z
69;Just Dance 2;Wii;2010.0;Misc;Ubisoft;5.84;2.89;0.01;0.78;9.52;TRUE;TRUE;187735.0;651.0;434.0;Just Dance 4 Video Review - IGN Reviews;2012-12-11T00:41:06Z
70;Gran Turismo 2;PS;1999.0;Racing;Sony Computer Entertainment;3.88;3.42;1.69;0.5;9.49;TRUE;TRUE;28925.0;361.0;39.0;Gran Turismo 4 PlayStation 2 Review - Video Review;2011-06-23T10:02:30Z
71;Call of Duty 4: Modern Warfare;X360;2007.0;Shooter;Activision;5.91;2.38;0.13;0.9;9.32;TRUE;TRUE;610638.0;4472.0;2831.0;Call of Duty 4 Video Review;2008-08-05T03:58:38Z
72;Donkey Kong Country;SNES;1994.0;Platform;Nintendo;4.36;1.71;3.0;0.23;9.3;TRUE;TRUE;463064.0;4446.0;610.0;Donkey Kong Country: Tropical Freeze for Switch Review;2018-05-01T17:59:42Z
73;Minecraft;X360;2013.0;Misc;Microsoft Game Studios;5.58;2.83;0.02;0.77;9.2;TRUE;TRUE;978176.0;9300.0;6720.0;IGN Reviews - Full Minecraft Review;2011-11-24T01:36:15Z
74;Animal Crossing: New Leaf;3DS;2012.0;Simulation;Nintendo;2.01;2.32;4.36;0.41;9.09;TRUE;TRUE;646721.0;7879.0;2382.0;IGN Reviews - Animal Crossing: New Leaf Video Review;2013-06-04T17:51:52Z
75;Mario Party DS;DS;2007.0;Misc;Nintendo;4.46;1.88;1.98;0.7;9.02;TRUE;TRUE;187843.0;1011.0;284.0;Mario Kart DS Nintendo DS Review - Video Review;2011-06-23T10:02:30Z
76;The Elder Scrolls V: Skyrim;X360;2011.0;Role-Playing;Bethesda Softworks;5.03;2.86;0.1;0.85;8.84;FALSE;TRUE;4127833.0;27638.0;22044.0;IGN Reviews - Elder Scrolls V: Skyrim Game Review;2011-11-10T13:00:00Z
77;Super Mario Kart;SNES;1992.0;Racing;Nintendo;3.54;1.24;3.81;0.18;8.76;TRUE;TRUE;1076441.0;10453.0;1351.0;Mario Kart 8 Deluxe Review;2017-04-20T13:00:00Z
78;FIFA 16;PS4;2015.0;Sports;Electronic Arts;1.11;6.06;0.06;1.26;8.49;TRUE;TRUE;351514.0;3624.0;1156.0;FIFA 16 Soccer Video Review;2015-09-22T04:54:53Z
79;Wii Party;Wii;2010.0;Misc;Nintendo;1.79;3.53;2.49;0.68;8.49;TRUE;TRUE;188471.0;1073.0;882.0;Mario Party 9 - Video Review;2012-03-13T00:22:12Z
80;Halo 2;XB;2004.0;Shooter;Microsoft Game Studios;6.82;1.53;0.05;0.08;8.49;TRUE;TRUE;65620.0;357.0;162.0;Halo 2 PC Games Review - Video Review (HD);2011-05-23T06:04:21Z
81;Mario Party 8;Wii;2007.0;Misc;Nintendo;3.81;2.3;1.58;0.73;8.42;TRUE;TRUE;850270.0;8476.0;1078.0;Super Mario Party Review;2018-10-04T22:30:47Z
82;Pokemon Black 2/Pokemon White 2;DS;2012.0;Role-Playing;Nintendo;2.91;1.86;3.14;0.43;8.33;;;733143.0;6280.0;2956.0;Pokemon Black 2 & White 2 Video Review - IGN Reviews;2012-10-04T18:22:59Z
83;FIFA Soccer 13;PS3;2012.0;Action;Electronic Arts;1.06;5.05;0.13;2.01;8.24;TRUE;TRUE;466902.0;2768.0;1286.0;FIFA 13 Video Review - IGN Reviews;2012-09-20T17:47:45Z
84;The Sims 3;PC;2009.0;Simulation;Electronic Arts;0.98;6.42;0.0;0.71;8.11;FALSE;TRUE;1735151.0;4149.0;2012.0;The Sims 3 Video Review;2009-06-01T20:23:19Z
85;GoldenEye 007;N64;1997.0;Shooter;Nintendo;5.8;2.01;0.13;0.15;8.09;;;526222.0;2318.0;2015.0;GoldenEye 007: Video Review;2010-11-02T16:52:10Z
86;Mario & Sonic at the Olympic Games;Wii;2007.0;Sports;Sega;2.58;3.9;0.66;0.91;8.06;TRUE;TRUE;492699.0;4623.0;573.0;Mario and Sonic at the Olympic Games Tokyo 2020 Review;2019-11-05T14:30:00Z
87;Final Fantasy X;PS2;2001.0;Role-Playing;Sony Computer Entertainment;2.91;2.07;2.73;0.33;8.05;FALSE;TRUE;872530.0;6115.0;1583.0;Final Fantasy X/X2 HD Remaster - Review;2014-03-10T19:45:26Z
88;Final Fantasy VIII;PS;1999.0;Role-Playing;SquareSoft;2.28;1.72;3.63;0.23;7.86;FALSE;TRUE;1385342.0;19222.0;5997.0;Final Fantasy 7 Remake Review;2020-04-06T10:00:34Z
89;Pokémon Platinum Version;DS;2008.0;Role-Playing;Nintendo;2.82;1.78;2.69;0.55;7.84;;;662334.0;2980.0;1269.0;Pokemon Platinum Review;2009-03-25T01:45:09Z
90;Pac-Man;2600;1982.0;Puzzle;Atari;7.28;0.45;0.0;0.08;7.81;TRUE;TRUE;82698.0;1275.0;107.0;Pac-Man 99 Review;2021-04-15T00:56:47Z
91;Grand Theft Auto: Liberty City Stories;PSP;2005.0;Action;Take-Two Interactive;2.9;2.83;0.24;1.75;7.72;TRUE;TRUE;117769.0;1048.0;232.0;Grand Theft Auto: Liberty City Stories Sony PSP Review;2011-05-19T20:29:36Z
92;Super Mario Galaxy 2;Wii;2010.0;Platform;Nintendo;3.66;2.42;0.98;0.64;7.69;TRUE;TRUE;3260211.0;13496.0;11906.0;Super Mario Galaxy 2 Review;2010-05-21T06:59:22Z
93;Star Wars Battlefront (2015);PS4;2015.0;Shooter;Electronic Arts;2.93;3.29;0.22;1.23;7.67;TRUE;TRUE;1415678.0;10669.0;3704.0;Star Wars Battlefront Review;2015-11-18T00:30:00Z
94;Call of Duty: Advanced Warfare;PS4;2014.0;Shooter;Activision;2.8;3.3;0.14;1.37;7.6;TRUE;TRUE;1625168.0;16731.0;6801.0;Call of Duty: Advanced Warfare Review;2014-11-04T02:30:03Z
95;The Legend of Zelda: Ocarina of Time;N64;1998.0;Action;Nintendo;4.1;1.89;1.45;0.16;7.6;FALSE;TRUE;1353391.0;10991.0;5335.0;Legend of Zelda: Ocarina of Time 3D Review;2011-06-17T17:21:55Z
96;Crash Bandicoot 2: Cortex Strikes Back;PS;1997.0;Platform;Sony Computer Entertainment;3.78;2.17;1.31;0.31;7.58;FALSE;TRUE;46799.0;767.0;238.0;The First 20 Minutes of Crash Bandicoot 2 (Captured in 4K);2017-06-29T17:00:06Z
97;Super Mario Bros. 2;NES;1988.0;Platform;Nintendo;5.39;1.18;0.7;0.19;7.46;TRUE;TRUE;50513.0;492.0;82.0;Super Mario Bros. 2 - IGN Plays;2014-08-30T22:00:05Z
98;Super Smash Bros. for Wii U and 3DS;3DS;2014.0;Fighting;Nintendo;3.24;1.35;2.42;0.43;7.45;;;657181.0;6792.0;2907.0;Super Smash Bros. for Wii U Review;2014-11-21T23:33:47Z
99;Call of Duty: World at War;X360;2008.0;Shooter;Activision;4.79;1.9;0.0;0.69;7.37;TRUE;TRUE;1689494.0;8160.0;4652.0;Call of Duty: World at War Review;2008-11-11T22:20:30Z
100;Battlefield 3;X360;2011.0;Shooter;Electronic Arts;4.46;2.13;0.06;0.69;7.34;TRUE;TRUE;882294.0;7757.0;13313.0;IGN Reviews - Battlefield 3 (PC) Game Review;2011-10-24T07:18:06Z
101;The Legend of Zelda: Twilight Princess;Wii;2006.0;Action;Nintendo;3.83;2.19;0.6;0.7;7.31;FALSE;TRUE;370810.0;3817.0;871.0;The Legend of Zelda: Twilight Princess HD Review;2016-03-01T13:58:01Z
102;Call of Duty: Black Ops 3;XOne;2015.0;Shooter;Activision;4.52;2.09;0.01;0.67;7.3;TRUE;TRUE;1358591.0;13678.0;6553.0;Call of Duty: Black Ops 3 Review;2015-11-07T22:42:20Z
103;Just Dance;Wii;2009.0;Misc;Ubisoft;3.51;3.03;0.0;0.73;7.27;;;187735.0;651.0;434.0;Just Dance 4 Video Review - IGN Reviews;2012-12-11T00:41:06Z
104;Battlefield 3;PS3;2011.0;Shooter;Electronic Arts;2.85;2.93;0.35;1.1;7.23;TRUE;TRUE;882294.0;7757.0;13313.0;IGN Reviews - Battlefield 3 (PC) Game Review;2011-10-24T07:18:06Z
105;Need for Speed Underground;PS2;2003.0;Racing;Electronic Arts;3.27;2.83;0.08;1.02;7.2;TRUE;TRUE;1433121.0;12331.0;2850.0;Need For Speed Review;2015-11-03T08:06:43Z
106;Tekken 3;PS;1998.0;Fighting;Sony Computer Entertainment;3.27;2.22;1.4;0.29;7.16;TRUE;TRUE;146.0;1.0;0.0;Tekken 3 PlayStation Gameplay_1998_04_29_1;2011-05-20T11:38:21Z
107;Crash Bandicoot 3: Warped;PS;1998.0;Platform;Sony Computer Entertainment;3.68;1.75;1.42;0.28;7.13;FALSE;TRUE;1098237.0;13049.0;1921.0;Crash Bandicoot N. Sane Trilogy Review;2017-06-29T14:00:05Z
108;Super Smash Bros. Melee;GC;2001.0;Fighting;Nintendo;4.41;1.04;1.39;0.22;7.07;TRUE;TRUE;57756.0;840.0;243.0;Super Smash Bros. Melee - IGN Plays;2014-09-09T00:30:01Z
109;Mario Kart 8;WiiU;2014.0;Racing;Nintendo;3.13;2.07;1.27;0.49;6.96;TRUE;TRUE;1076441.0;10453.0;1351.0;Mario Kart 8 Deluxe Review;2017-04-20T13:00:00Z
110;Fallout 4;PS4;2015.0;Role-Playing;Bethesda Softworks;2.47;3.15;0.24;1.1;6.96;FALSE;TRUE;2851988.0;32327.0;7340.0;Fallout 4 Review;2015-11-09T13:00:00Z
111;Mario Kart: Double Dash!!;GC;2003.0;Racing;Nintendo;4.12;1.77;0.87;0.19;6.95;TRUE;TRUE;43020.0;763.0;198.0;Mario Kart: Double Dash - IGN Plays;2014-09-09T01:30:00Z
112;Just Dance 4;Wii;2012.0;Misc;Ubisoft;4.14;2.21;0.0;0.56;6.91;;;187735.0;651.0;434.0;Just Dance 4 Video Review - IGN Reviews;2012-12-11T00:41:06Z
113;FIFA 14;PS3;2013.0;Sports;Electronic Arts;0.78;4.32;0.07;1.73;6.9;TRUE;TRUE;358546.0;2516.0;1147.0;IGN Reviews - FIFA 14 - Review;2013-09-23T17:59:45Z
114;Need for Speed Underground 2;PS2;2004.0;Racing;Electronic Arts;2.71;3.02;0.08;1.09;6.9;TRUE;TRUE;12356.0;168.0;21.0;Need for Speed Underground 2 PlayStation 2 Gameplay -;2011-05-19T22:29:52Z
115;Medal of Honor: Frontline;PS2;2002.0;Shooter;Electronic Arts;2.93;2.75;0.17;0.99;6.83;TRUE;TRUE;171.0;0.0;0.0;Medal of Honor: Frontline PlayStation 2;2011-05-20T08:36:53Z
116;Uncharted 3: Drake's Deception;PS3;2011.0;Action;Sony Computer Entertainment;2.77;2.8;0.19;1.06;6.83;TRUE;TRUE;1820057.0;17377.0;16555.0;IGN Reviews - Uncharted 3: Drake's Deception Game Review;2011-10-24T16:08:12Z
117;Crash Bandicoot;PS;1996.0;Platform;Sony Computer Entertainment;3.23;2.35;0.94;0.3;6.82;;;1098237.0;13049.0;1921.0;Crash Bandicoot N. Sane Trilogy Review;2017-06-29T14:00:05Z
118;Zumba Fitness;Wii;2010.0;Sports;505 Games;3.5;2.64;0.0;0.67;6.81;;;437594.0;121.0;82.0;Zumba Fitness: Launch Trailer;2010-12-07T18:28:45Z
119;Gears of War 2;X360;2008.0;Shooter;Microsoft Game Studios;4.15;1.92;0.06;0.64;6.76;TRUE;TRUE;547598.0;2979.0;1498.0;Gears of War 2 Review;2008-11-03T20:03:25Z
120;Uncharted 2: Among Thieves;PS3;2009.0;Action;Sony Computer Entertainment;3.27;2.25;0.21;1.0;6.73;TRUE;TRUE;2244065.0;11967.0;8997.0;Uncharted 2: Among Thieves Review;2009-09-18T23:43:41Z
121;Call of Duty 4: Modern Warfare;PS3;2007.0;Shooter;Activision;3.1;2.3;0.28;1.04;6.72;TRUE;TRUE;610638.0;4472.0;2831.0;Call of Duty 4 Video Review;2008-08-05T03:58:38Z
122;FIFA 12;PS3;2011.0;Sports;Electronic Arts;0.84;4.32;0.11;1.42;6.69;TRUE;TRUE;580581.0;2147.0;1471.0;IGN Reviews - FIFA 12 Game Review;2011-09-23T17:28:46Z
