,Name,multiplayer,singleplayer,awarded,Global_Sales,Genre__Action-Adventure,Genre__Adventure,Genre__Board+Game,Genre__Education,Genre__Fighting,Genre__MMO,Genre__Misc,Genre__Music,Genre__Party,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Genre__Visual+Novel,Meta_Critic_Score,Meta_User_Score,N_Critic_Reviews,N_User_Reviews,Platform_PC,Platform_N64,Platform_PlayStation,Platform_DC,Platform_PS2,Platform_XB,Platform_GBA,Platform_GC,Platform_NDS,Platform_X360,Platform_PSP,Platform_NWii,Platform_PS3,Platform_3DS,Platform_PSV,Platform_WiiU,Platform_PS4,Platform_XOne,Platform_NS,Platform_PS5,Platform_XS,Platform_ST,Publisher_class,Developer_class,IP_class,Sales_label_q4,Sales_label_q10
14,Brain Age 2: More Training in Minutes a Day,1,1,0.0,15.29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77.0,7.2,37,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,9
15,Gran Turismo 3: A-Spec,1,1,1.0,14.98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95.0,8.4,54,129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,9
16,Call of Duty: Modern Warfare 3,1,1,1.0,30.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81.0,2.95,162,8381,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,3,3,9
17,Call of Duty: Black Ops,1,1,0.0,30.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82.0,6.319999999999999,214,1601,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,3,3,3,9
18,Call of Duty: Black Ops II,1,1,0.0,29.590000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80.25,5.65,136,1765,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4,3,3,3,9
19,Call of Duty: Modern Warfare 2,1,1,1.0,25.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91.33333333333331,5.966666666666666,207,2297,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3,3,9
20,Grand Theft Auto III,0,1,1.0,13.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,8.3,76,422,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,9
21,Super Smash Bros. Brawl,1,1,1.0,12.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,8.8,81,610,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,3,9
22,Animal Crossing: Wild World,1,1,0.0,12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86.0,8.5,57,111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,9
23,Mario Kart 7,1,1,0.0,15.49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85.0,8.2,73,239,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,3,3,9
24,Halo 3,1,1,0.0,12.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94.0,8.1,86,1202,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
25,Super Mario 64,1,1,1.0,11.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,94.0,9.1,13,362,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
26,Gran Turismo 4,1,1,1.0,11.66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,89.0,8.7,74,113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,9
27,Super Mario Galaxy,1,1,1.0,11.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97.0,9.1,73,876,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
28,Grand Theft Auto IV,1,1,1.0,22.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.33333333333331,7.566666666666666,190,2385,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,3,9
30,Super Mario 3D Land,0,1,0.0,11.56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90.0,8.4,82,359,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,3,3,9
31,Gran Turismo 5,1,1,1.0,10.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84.0,7.8,82,365,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,3,9
33,Call of Duty: Ghosts,1,1,0.0,28.800000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73.6,3.24,109,2408,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,4,2,3,3,9
34,Halo: Reach,1,1,1.0,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91.0,8.4,99,692,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
35,Mario Kart 64,1,1,0.0,9.87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,83.0,8.6,15,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
36,New Super Mario Bros. 2,1,1,0.0,12.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78.0,7.2,70,194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,3,3,9
37,Halo 4,1,1,1.0,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87.0,7.1,87,1116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
38,Final Fantasy VII,0,1,1.0,9.72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86.5,8.25,47,546,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,3,3,9
39,Just Dance 2,1,1,0.0,9.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74.0,7.2,24,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2,3,9
40,Gran Turismo 2,1,1,0.0,9.49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93.0,9.0,23,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,9
41,Call of Duty 4: Modern Warfare,1,1,1.0,18.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88.75,7.875,176,1208,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3,3,9
42,Donkey Kong Country,1,1,1.0,13.53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78.0,8.7,26,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,9
43,Minecraft,1,1,1.0,33.83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89.5,7.75,57,1792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,9
44,Animal Crossing: New Leaf,1,1,0.0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.0,8.7,70,198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,1,3,9
45,Mario Party DS,1,1,0.0,8.93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72.0,7.9,27,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,9
46,The Elder Scrolls V: Skyrim,0,1,1.0,20.51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91.5,8.0,204,4935,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,2,2,3,9
47,FIFA 16,1,1,1.0,15.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82.33333333333333,4.466666666666667,98,394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3,3,9
48,Wii Party,1,1,0.0,8.41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68.0,8.0,42,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,3,9
49,Halo 2,1,1,0.0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83.5,7.449999999999999,123,719,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,9
50,Mario Party 8,1,1,0.0,8.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62.0,6.5,41,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,3,3,9
51,FIFA Soccer 13,1,1,0.0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78.0,6.0200000000000005,129,305,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,3,3,3,2,5
52,The Sims 3,0,1,0.0,15.199999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73.0,6.24,194,258,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,2,3,3,9
54,Mario & Sonic at the Olympic Games,1,1,0.0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.5,7.4,69,64,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9
55,Final Fantasy X,0,1,1.0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.0,8.9,53,335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9
56,Final Fantasy VIII,0,1,0.0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90.0,8.7,24,190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9
57,Pac-Man,1,1,1.0,9.03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62.0,5.1,16,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
58,Grand Theft Auto: Liberty City Stories,1,1,0.0,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,7.85,114,270,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,9
59,Super Mario Galaxy 2,1,1,1.0,7.57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97.0,9.1,87,420,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9
60,Call of Duty: Advanced Warfare,1,1,1.0,21.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80.66666666666667,5.333333333333333,110,970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,3,3,9
61,The Legend of Zelda: Ocarina of Time,0,1,1.0,7.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,9.1,22,1478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
62,Call of Duty: World at War,1,1,0.0,15.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82.0,7.5,196,498,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,9
63,Battlefield 3,1,1,1.0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86.0,7.533333333333334,156,3047,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,3,9
64,The Legend of Zelda: Twilight Princess,0,1,1.0,8.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,8.95,89,616,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
66,Tekken 3,1,1,0.0,7.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,9.0,15,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
67,Crash Bandicoot 3: Warped,0,1,0.0,7.13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,91.0,9.0,12,140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,9
68,Super Smash Bros. Melee,1,1,1.0,7.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,9.1,38,279,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,9
69,Mario Kart 8,1,1,1.0,7.69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88.0,8.8,82,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,3,3,9
70,Fallout 4,0,1,1.0,14.910000000000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86.33333333333333,6.3,139,4099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,2,3,9
71,Mario Kart: Double Dash!!,1,1,1.0,6.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,87.0,8.6,58,148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
73,FIFA 14,1,1,0.0,17.310000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86.25,5.2,126,494,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,3,3,3,9
74,Uncharted 3: Drake's Deception,1,1,1.0,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,8.4,97,1116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,3,9
75,Gears of War 2,1,1,1.0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93.0,7.9,90,415,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,9
76,Uncharted 2: Among Thieves,1,1,1.0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,8.8,105,1185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,3,9
78,Red Dead Redemption,1,1,1.0,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,8.95,169,976,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,3,9
79,FIFA 15,1,1,0.0,18.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82.0,5.2,89,485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3,3,3,9
80,Donkey Kong Country Returns,1,1,0.0,6.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87.0,8.6,77,125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
81,Assassin's Creed III,1,1,1.0,13.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.5,6.825000000000001,149,1261,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4,2,3,3,9
82,Halo: Combat Evolved,1,1,0.0,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90.0,8.2,108,916,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,9
84,Halo 3: ODST,1,1,1.0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83.0,7.6,94,298,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
85,Super Mario Sunshine,0,1,0.0,6.31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92.0,8.4,61,245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
86,World of Warcraft,1,0,1.0,6.35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.0,7.4,57,586,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
88,Kinect Sports,1,1,1.0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73.0,7.6,51,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,9
89,Gears of War 3,1,1,1.0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91.0,8.1,96,470,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,9
91,Metal Gear Solid 2: Sons of Liberty,0,1,1.0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,8.8,42,365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,9
92,Sonic the Hedgehog 2,1,1,1.0,6.07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82.0,7.8,11,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,9
93,Metal Gear Solid 4: Guns of the Patriots,0,1,1.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,8.8,82,884,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,3,9
95,The Last of Us,1,1,1.0,6.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,9.2,98,2516,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,3,9
96,Final Fantasy XII,0,1,0.0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.0,7.6,64,314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,9
98,Dragon Quest IX: Sentinels of the Starry Skies,1,1,1.0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.0,8.6,65,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,9
99,LEGO Star Wars: The Complete Saga,1,1,0.0,15.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,7.575,68,139,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,9
100,Resident Evil 2,0,1,1.0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.85714285714286,8.942857142857143,204,1502,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,3,3,9
101,Tekken 2,1,1,0.0,5.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,8.3,8,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
104,Assassin's Creed II,0,1,0.0,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,8.299999999999999,174,849,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3,3,3,9
105,Super Smash Bros.,1,1,0.0,5.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85.33333333333333,8.700000000000001,164,859,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2,0,3,9
107,Batman: Arkham City,0,1,1.0,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.66666666666669,8.766666666666667,156,1298,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,3,9
108,Forza Motorsport 3,1,1,1.0,5.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,92.0,8.1,90,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
109,Monster Hunter Freedom Unite,1,1,0.0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81.0,8.5,48,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,9
110,Super Mario Advance,1,1,0.0,5.49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84.0,7.3,19,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
111,Crash Bandicoot: The Wrath of Cortex,0,1,0.0,7.24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66.0,7.2,49,102,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,9
112,Final Fantasy XIII,0,1,0.0,7.539999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82.5,6.65,137,607,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3,3,3,9
113,Final Fantasy IX,1,1,0.0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84.75,8.425,62,304,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,3,3,9
114,Final Fantasy X-2,0,1,0.0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85.0,7.5,45,158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,9
