Name;multiplayer;singleplayer;awarded;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;series
Donkey Kong Country;1;1;1.0;GB;2000.0;Platform;Nintendo;1.04;0.72;0.3;0.13;2.19;Donkey Kong
Donkey Kong Country;1;1;1.0;GBA;2003.0;Platform;Nintendo;1.2;0.48;0.29;0.07;2.04;Donkey Kong
Minecraft;1;1;1.0;X360;2013.0;Misc;Microsoft Game Studios;5.58;2.83;0.02;0.77;9.2;Minecraft
Minecraft;1;1;1.0;PS3;2014.0;Misc;Sony Computer Entertainment;1.97;2.51;0.0;0.94;5.42;Minecraft
Minecraft;1;1;1.0;PS4;2014.0;Misc;Sony Computer Entertainment Europe;1.38;1.87;0.12;0.65;4.02;Minecraft
Minecraft;1;1;1.0;XOne;2014.0;Misc;Microsoft Game Studios;1.43;0.76;0.0;0.22;2.41;Minecraft
Minecraft;1;1;1.0;PSV;2014.0;Misc;Sony Computer Entertainment Europe;0.28;0.79;0.87;0.32;2.25;Minecraft
Minecraft;1;1;1.0;WiiU;2016.0;Misc;Microsoft Game Studios;0.18;0.09;0.14;0.03;0.43;Minecraft
Animal Crossing: New Leaf;1;1;0.0;3DS;2012.0;Simulation;Nintendo;2.01;2.32;4.36;0.41;9.09;Animal Crossing
Mario Party DS;1;1;0.0;DS;2007.0;Misc;Nintendo;4.46;1.88;1.98;0.7;9.02;Mario Party
The Elder Scrolls V: Skyrim;0;1;1.0;X360;2011.0;Role-Playing;Bethesda Softworks;5.03;2.86;0.1;0.85;8.84;The Elder Scrolls
The Elder Scrolls V: Skyrim;0;1;1.0;PS3;2011.0;Role-Playing;Bethesda Softworks;2.55;2.71;0.25;1.05;6.56;The Elder Scrolls
The Elder Scrolls V: Skyrim;0;1;1.0;PC;2011.0;Role-Playing;Bethesda Softworks;1.15;2.09;0.0;0.64;3.88;The Elder Scrolls
Super Mario Kart;1;1;0.0;SNES;1992.0;Racing;Nintendo;3.54;1.24;3.81;0.18;8.76;Mario Kart
FIFA 16;1;1;1.0;PS4;2015.0;Sports;Electronic Arts;1.11;6.06;0.06;1.26;8.49;FIFA
FIFA 16;1;1;1.0;XOne;2015.0;Sports;Electronic Arts;0.88;2.11;0.0;0.23;3.23;FIFA
FIFA 16;1;1;1.0;PS3;2015.0;Sports;Electronic Arts;0.4;1.98;0.05;0.42;2.85;FIFA
FIFA 16;1;1;1.0;X360;2015.0;Sports;Electronic Arts;0.55;1.01;0.0;0.13;1.69;FIFA
FIFA 16;1;1;1.0;PC;2015.0;Sports;Electronic Arts;0.04;0.13;0.0;0.01;0.18;FIFA
Wii Party;1;1;0.0;Wii;2010.0;Misc;Nintendo;1.79;3.53;2.49;0.68;8.49;Wii
Halo 2;1;1;0.0;XB;2004.0;Shooter;Microsoft Game Studios;6.82;1.53;0.05;0.08;8.49;Halo
Halo 2;1;1;0.0;PC;2007.0;Shooter;Microsoft Game Studios;0.01;0.06;0.0;0.02;0.1;Halo
Mario Party 8;1;1;0.0;Wii;2007.0;Misc;Nintendo;3.81;2.3;1.58;0.73;8.42;Mario Party
FIFA Soccer 13;1;1;0.0;PS3;2012.0;Action;Electronic Arts;1.06;5.05;0.13;2.01;8.24;FIFA
FIFA Soccer 13;1;1;0.0;X360;2012.0;Action;Electronic Arts;1.08;3.48;0.03;0.58;5.18;FIFA
FIFA Soccer 13;1;1;0.0;Wii;2012.0;Action;Electronic Arts;0.19;0.46;0.0;0.08;0.72;FIFA
FIFA Soccer 13;1;1;0.0;WiiU;2012.0;Action;Electronic Arts;0.18;0.26;0.0;0.04;0.48;FIFA
FIFA Soccer 13;1;1;0.0;PSV;2012.0;Action;Electronic Arts;0.0;0.3;0.05;0.12;0.47;FIFA
FIFA Soccer 13;1;1;0.0;PC;2012.0;Action;Electronic Arts;0.02;0.31;0.0;0.07;0.41;FIFA
FIFA Soccer 13;1;1;0.0;PSP;2012.0;Action;Electronic Arts;0.05;0.19;0.02;0.1;0.37;FIFA
FIFA Soccer 13;1;1;0.0;3DS;2012.0;Action;Electronic Arts;0.06;0.2;0.0;0.03;0.29;FIFA
The Sims 3;0;1;0.0;PC;2009.0;Simulation;Electronic Arts;0.98;6.42;0.0;0.71;8.11;The Sims
The Sims 3;0;1;0.0;X360;2010.0;Simulation;Electronic Arts;1.27;0.86;0.0;0.2;2.33;The Sims
The Sims 3;0;1;0.0;PS3;2010.0;Simulation;Electronic Arts;0.73;0.97;0.02;0.34;2.06;The Sims
The Sims 3;0;1;0.0;Wii;2010.0;Simulation;Electronic Arts;0.61;0.73;0.0;0.15;1.49;The Sims
The Sims 3;0;1;0.0;3DS;2011.0;Simulation;Electronic Arts;0.3;0.37;0.03;0.07;0.76;The Sims
The Sims 3;0;1;0.0;DS;2010.0;Simulation;Electronic Arts;0.39;0.25;0.0;0.06;0.7;The Sims
Mario & Sonic at the Olympic Games;1;1;0.0;Wii;2007.0;Sports;Sega;2.58;3.9;0.66;0.91;8.06;Mario & Sonic
Mario & Sonic at the Olympic Games;1;1;0.0;DS;2008.0;Sports;Sega;1.64;2.48;0.44;0.58;5.14;Mario & Sonic
Final Fantasy X;0;1;1.0;PS2;2001.0;Role-Playing;Sony Computer Entertainment;2.91;2.07;2.73;0.33;8.05;Final Fantasy
Final Fantasy VIII;0;1;0.0;PS;1999.0;Role-Playing;SquareSoft;2.28;1.72;3.63;0.23;7.86;Final Fantasy
Pac-Man;1;1;1.0;2600;1982.0;Puzzle;Atari;7.28;0.45;0.0;0.08;7.81;Pac-Man
Pac-Man;1;1;1.0;NES;1984.0;Puzzle;Namco Bandai Games;0.27;0.08;0.85;0.02;1.22;Pac-Man
Grand Theft Auto: Liberty City Stories;1;1;0.0;PSP;2005.0;Action;Take-Two Interactive;2.9;2.83;0.24;1.75;7.72;Grand Theft Auto
Grand Theft Auto: Liberty City Stories;1;1;0.0;PS2;2006.0;Action;Take-Two Interactive;1.56;1.4;0.07;0.5;3.54;Grand Theft Auto
Super Mario Galaxy 2;1;1;1.0;Wii;2010.0;Platform;Nintendo;3.66;2.42;0.98;0.64;7.69;Super Mario
Star Wars Battlefront (2015);1;1;1.0;PS4;2015.0;Shooter;Electronic Arts;2.93;3.29;0.22;1.23;7.67;Star Wars: Battlefront
Star Wars Battlefront (2015);1;1;1.0;XOne;2015.0;Shooter;Electronic Arts;1.94;1.22;0.02;0.31;3.49;Star Wars: Battlefront
Star Wars Battlefront (2015);1;1;1.0;PC;2015.0;Shooter;Electronic Arts;0.13;0.37;0.0;0.04;0.54;Star Wars: Battlefront
Call of Duty: Advanced Warfare;1;1;1.0;PS4;2014.0;Shooter;Activision;2.8;3.3;0.14;1.37;7.6;Call of Duty
Call of Duty: Advanced Warfare;1;1;1.0;XOne;2014.0;Shooter;Activision;3.21;1.53;0.01;0.38;5.13;Call of Duty
Call of Duty: Advanced Warfare;1;1;1.0;PS3;2014.0;Shooter;Activision;1.54;1.94;0.19;0.77;4.45;Call of Duty
Call of Duty: Advanced Warfare;1;1;1.0;X360;2014.0;Shooter;Activision;2.75;1.18;0.0;0.37;4.31;Call of Duty
Call of Duty: Advanced Warfare;1;1;1.0;PC;2014.0;Shooter;Activision;0.14;0.23;0.0;0.04;0.41;Call of Duty
The Legend of Zelda: Ocarina of Time;0;1;1.0;N64;1998.0;Action;Nintendo;4.1;1.89;1.45;0.16;7.6;The Legend of Zelda
The Legend of Zelda: Ocarina of Time;0;1;1.0;3DS;2011.0;Action;Nintendo;2.03;1.27;0.62;0.3;4.21;The Legend of Zelda
Crash Bandicoot 2: Cortex Strikes Back;0;1;0.0;PS;1997.0;Platform;Sony Computer Entertainment;3.78;2.17;1.31;0.31;7.58;Crash Bandicoot
Super Mario Bros. 2;1;1;0.0;NES;1988.0;Platform;Nintendo;5.39;1.18;0.7;0.19;7.46;Super Mario
Call of Duty: World at War;1;1;0.0;X360;2008.0;Shooter;Activision;4.79;1.9;0.0;0.69;7.37;Call of Duty
Call of Duty: World at War;1;1;0.0;PS3;2008.0;Shooter;Activision;2.72;1.87;0.0;0.84;5.43;Call of Duty
Call of Duty: World at War;1;1;0.0;Wii;2008.0;Shooter;Activision;1.2;0.59;0.0;0.19;1.97;Call of Duty
Call of Duty: World at War;1;1;0.0;DS;2008.0;Shooter;Activision;0.57;0.26;0.0;0.08;0.91;Call of Duty
Call of Duty: World at War;1;1;0.0;PC;2008.0;Shooter;Activision;0.02;0.13;0.0;0.03;0.19;Call of Duty
Battlefield 3;1;1;1.0;X360;2011.0;Shooter;Electronic Arts;4.46;2.13;0.06;0.69;7.34;Battlefield
Battlefield 3;1;1;1.0;PS3;2011.0;Shooter;Electronic Arts;2.85;2.93;0.35;1.1;7.23;Battlefield
Battlefield 3;1;1;1.0;PC;2011.0;Shooter;Electronic Arts;0.89;1.43;0.0;0.48;2.79;Battlefield
The Legend of Zelda: Twilight Princess;0;1;1.0;Wii;2006.0;Action;Nintendo;3.83;2.19;0.6;0.7;7.31;The Legend of Zelda
The Legend of Zelda: Twilight Princess;0;1;1.0;GC;2006.0;Action;Nintendo;1.15;0.36;0.04;0.04;1.59;The Legend of Zelda
Need for Speed Underground;1;1;1.0;PS2;2003.0;Racing;Electronic Arts;3.27;2.83;0.08;1.02;7.2;Need for Speed
Need for Speed Underground;1;1;1.0;XB;2003.0;Racing;Electronic Arts;1.09;0.55;0.0;0.07;1.71;Need for Speed
Need for Speed Underground;1;1;1.0;GC;2003.0;Racing;Electronic Arts;0.69;0.48;0.01;0.03;1.21;Need for Speed
Need for Speed Underground;1;1;1.0;GBA;2003.0;Racing;Electronic Arts;0.21;0.08;0.0;0.01;0.29;Need for Speed
Need for Speed Underground;1;1;1.0;PC;2003.0;Racing;Electronic Arts;0.0;0.04;0.0;0.01;0.05;Need for Speed
Tekken 3;1;1;0.0;PS;1998.0;Fighting;Sony Computer Entertainment;3.27;2.22;1.4;0.29;7.16;Tekken
Crash Bandicoot 3: Warped;0;1;0.0;PS;1998.0;Platform;Sony Computer Entertainment;3.68;1.75;1.42;0.28;7.13;Crash Bandicoot
Super Smash Bros. Melee;1;1;1.0;GC;2001.0;Fighting;Nintendo;4.41;1.04;1.39;0.22;7.07;Super Smash Bros.
Mario Kart 8;1;1;1.0;WiiU;2014.0;Racing;Nintendo;3.13;2.07;1.27;0.49;6.96;Mario Kart
Fallout 4;0;1;1.0;PS4;2015.0;Role-Playing;Bethesda Softworks;2.47;3.15;0.24;1.1;6.96;Fallout
Fallout 4;0;1;1.0;XOne;2015.0;Role-Playing;Bethesda Softworks;2.45;1.26;0.01;0.37;4.09;Fallout
Fallout 4;0;1;1.0;PC;2015.0;Role-Playing;Bethesda Softworks;0.5;0.63;0.0;0.1;1.23;Fallout
Mario Kart: Double Dash!!;1;1;1.0;GC;2003.0;Racing;Nintendo;4.12;1.77;0.87;0.19;6.95;Mario Kart
FIFA 14;1;1;0.0;PS3;2013.0;Sports;Electronic Arts;0.78;4.32;0.07;1.73;6.9;FIFA
FIFA 14;1;1;0.0;X360;2013.0;Sports;Electronic Arts;0.92;2.93;0.01;0.46;4.31;FIFA
FIFA 14;1;1;0.0;PS4;2013.0;Sports;Electronic Arts;0.61;1.85;0.11;0.33;2.9;FIFA
FIFA 14;1;1;0.0;XOne;2013.0;Sports;Electronic Arts;0.41;0.66;0.0;0.12;1.19;FIFA
FIFA 14;1;1;0.0;PSV;2013.0;Sports;Electronic Arts;0.11;0.25;0.01;0.13;0.5;FIFA
FIFA 14;1;1;0.0;PC;2013.0;Sports;Electronic Arts;0.01;0.36;0.0;0.06;0.43;FIFA
FIFA 14;1;1;0.0;Wii;2013.0;Sports;Electronic Arts;0.0;0.38;0.0;0.05;0.43;FIFA
FIFA 14;1;1;0.0;3DS;2013.0;Sports;Electronic Arts;0.0;0.23;0.0;0.03;0.25;FIFA
FIFA 14;1;1;0.0;PSP;2013.0;Sports;Electronic Arts;0.0;0.16;0.0;0.07;0.23;FIFA
Need for Speed Underground 2;1;1;0.0;PS2;2004.0;Racing;Electronic Arts;2.71;3.02;0.08;1.09;6.9;Need for Speed
Need for Speed Underground 2;1;1;0.0;XB;2004.0;Racing;Electronic Arts;1.38;0.8;0.0;0.1;2.28;Need for Speed
Need for Speed Underground 2;1;1;0.0;GC;2004.0;Racing;Electronic Arts;0.7;0.39;0.01;0.03;1.14;Need for Speed
Need for Speed Underground 2;1;1;0.0;GBA;2004.0;Racing;Electronic Arts;0.31;0.12;0.0;0.01;0.43;Need for Speed
Need for Speed Underground 2;1;1;0.0;DS;2005.0;Racing;Electronic Arts;0.11;0.02;0.0;0.01;0.14;Need for Speed
Need for Speed Underground 2;1;1;0.0;PC;2004.0;Racing;Electronic Arts;0.0;0.06;0.0;0.01;0.08;Need for Speed
Medal of Honor: Frontline;1;1;0.0;PS2;2002.0;Shooter;Electronic Arts;2.93;2.75;0.17;0.99;6.83;Medal of Honor
Medal of Honor: Frontline;1;1;0.0;XB;2002.0;Shooter;Electronic Arts;1.0;0.43;0.0;0.06;1.49;Medal of Honor
Medal of Honor: Frontline;1;1;0.0;GC;2002.0;Shooter;Electronic Arts;0.46;0.12;0.0;0.02;0.59;Medal of Honor
Uncharted 3: Drake's Deception;1;1;1.0;PS3;2011.0;Action;Sony Computer Entertainment;2.77;2.8;0.19;1.06;6.83;Uncharted
Gears of War 2;1;1;1.0;X360;2008.0;Shooter;Microsoft Game Studios;4.15;1.92;0.06;0.64;6.76;Gears of War
Uncharted 2: Among Thieves;1;1;1.0;PS3;2009.0;Action;Sony Computer Entertainment;3.27;2.25;0.21;1.0;6.73;Uncharted
FIFA 12;1;1;0.0;PS3;2011.0;Sports;Electronic Arts;0.84;4.32;0.11;1.42;6.69;FIFA
FIFA 12;1;1;0.0;X360;2011.0;Sports;Electronic Arts;0.84;2.79;0.02;0.53;4.19;FIFA
FIFA 12;1;1;0.0;Wii;2011.0;Sports;Electronic Arts;0.16;0.52;0.0;0.11;0.79;FIFA
FIFA 12;1;1;0.0;PSP;2011.0;Sports;Electronic Arts;0.12;0.26;0.02;0.14;0.53;FIFA
FIFA 12;1;1;0.0;PC;2011.0;Sports;Electronic Arts;0.04;0.33;0.0;0.1;0.47;FIFA
FIFA 12;1;1;0.0;3DS;2011.0;Sports;Electronic Arts;0.08;0.26;0.0;0.05;0.39;FIFA
FIFA 12;1;1;0.0;PS2;2011.0;Sports;Electronic Arts;0.0;0.02;0.0;0.06;0.09;FIFA
Red Dead Redemption;1;1;1.0;PS3;2010.0;Action;Take-Two Interactive;2.79;2.61;0.17;1.03;6.6;Red Dead
Red Dead Redemption;1;1;1.0;X360;2010.0;Action;Take-Two Interactive;3.7;1.97;0.09;0.57;6.34;Red Dead
FIFA 15;1;1;0.0;PS4;2014.0;Sports;Electronic Arts;0.79;4.29;0.05;1.47;6.59;FIFA
FIFA 15;1;1;0.0;PS3;2014.0;Sports;Electronic Arts;0.57;3.14;0.04;1.07;4.82;FIFA
FIFA 15;1;1;0.0;X360;2014.0;Sports;Electronic Arts;0.78;2.02;0.0;0.3;3.11;FIFA
FIFA 15;1;1;0.0;XOne;2014.0;Sports;Electronic Arts;0.6;1.41;0.0;0.14;2.15;FIFA
FIFA 15;1;1;0.0;PSV;2014.0;Sports;Electronic Arts;0.13;0.48;0.04;0.19;0.84;FIFA
FIFA 15;1;1;0.0;Wii;2014.0;Sports;Electronic Arts;0.24;0.46;0.0;0.06;0.76;FIFA
