Name,multiplayer_x,singleplayer_x,awarded,viewconut,likecount,commentcount,Genre__Action-Adventure,Genre__Adventure,Genre__Board+Game,Genre__Education,Genre__Fighting,Genre__MMO,Genre__Misc,Genre__Music,Genre__Party,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Genre__Visual+Novel,Meta_Critic_Score,Meta_User_Score,N_Critic_Reviews,N_User_Reviews,Platform_PC,Platform_N64,Platform_PlayStation,Platform_DC,Platform_PS2,Platform_XB,Platform_GBA,Platform_GC,Platform_NDS,Platform_X360,Platform_PSP,Platform_NWii,Platform_PS3,Platform_3DS,Platform_PSV,Platform_WiiU,Platform_PS4,Platform_XOne,Platform_NS,Platform_PS5,Platform_XS,Platform_ST,Publisher_class,Developer_class,IP_class,Sales_label_q4,Sales_label_q10
Brain Age 2: More Training in Minutes a Day,1,1,0.0,604.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77.0,7.2,37,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,9
Gran Turismo 3: A-Spec,1,1,1.0,49.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95.0,8.4,54,129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,9
Call of Duty: Modern Warfare 3,1,1,1.0,1464748.0,9526.0,21334.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81.0,2.95,162,8381,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,3,3,9
Call of Duty: Black Ops,1,1,0.0,1481593.0,7545.0,12067.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82.0,6.319999999999999,214,1601,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,3,3,3,9
Call of Duty: Black Ops II,1,1,0.0,1589474.0,15606.0,19986.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80.25,5.65,136,1765,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4,3,3,3,9
Call of Duty: Modern Warfare 2,1,1,1.0,2547203.0,12353.0,11949.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91.33333333333331,5.966666666666666,207,2297,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3,3,9
Grand Theft Auto III,0,1,1.0,35678.0,769.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,8.3,76,422,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,9
Super Smash Bros. Brawl,1,1,1.0,295256.0,2044.0,1450.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,8.8,81,610,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,3,9
Animal Crossing: Wild World,1,1,0.0,106432.0,1015.0,179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86.0,8.5,57,111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,9
Mario Kart 7,1,1,0.0,721645.0,4362.0,2657.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85.0,8.2,73,239,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,3,3,9
Halo 3,1,1,0.0,416376.0,2568.0,1719.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94.0,8.1,86,1202,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
Super Mario 64,1,1,1.0,59818.0,1429.0,235.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,94.0,9.1,13,362,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
Gran Turismo 4,1,1,1.0,28925.0,361.0,39.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,89.0,8.7,74,113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,9
Super Mario Galaxy,1,1,1.0,647593.0,3619.0,1605.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97.0,9.1,73,876,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
Grand Theft Auto IV,1,1,1.0,3365604.0,26137.0,11491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.33333333333331,7.566666666666666,190,2385,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,3,9
Super Mario 3D Land,0,1,0.0,738728.0,4745.0,2128.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90.0,8.4,82,359,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,3,3,9
Gran Turismo 5,1,1,1.0,542149.0,2866.0,3145.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84.0,7.8,82,365,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,3,9
Call of Duty: Ghosts,1,1,0.0,1185463.0,9445.0,8339.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73.6,3.24,109,2408,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,4,2,3,3,9
Halo: Reach,1,1,1.0,1541459.0,12101.0,13678.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91.0,8.4,99,692,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
Mario Kart 64,1,1,0.0,25528.0,430.0,86.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,83.0,8.6,15,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
New Super Mario Bros. 2,1,1,0.0,66273.0,451.0,170.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78.0,7.2,70,194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,3,3,9
Halo 4,1,1,1.0,2476392.0,25405.0,22366.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87.0,7.1,87,1116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
Final Fantasy VII,0,1,1.0,1385342.0,19222.0,5997.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86.5,8.25,47,546,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,3,3,9
Just Dance 2,1,1,0.0,187735.0,651.0,434.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74.0,7.2,24,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2,3,9
Gran Turismo 2,1,1,0.0,28925.0,361.0,39.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93.0,9.0,23,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,9
Call of Duty 4: Modern Warfare,1,1,1.0,610638.0,4472.0,2831.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88.75,7.875,176,1208,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3,3,9
Donkey Kong Country,1,1,1.0,463064.0,4446.0,610.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78.0,8.7,26,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,9
Minecraft,1,1,1.0,978176.0,9300.0,6720.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89.5,7.75,57,1792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,9
Animal Crossing: New Leaf,1,1,0.0,646721.0,7879.0,2382.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.0,8.7,70,198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,1,3,9
Mario Party DS,1,1,0.0,187843.0,1011.0,284.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72.0,7.9,27,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,9
The Elder Scrolls V: Skyrim,0,1,1.0,4127833.0,27638.0,22044.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91.5,8.0,204,4935,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,2,2,3,9
FIFA 16,1,1,1.0,351514.0,3624.0,1156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82.33333333333333,4.466666666666667,98,394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3,3,9
Wii Party,1,1,0.0,188471.0,1073.0,882.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68.0,8.0,42,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,3,9
Halo 2,1,1,0.0,65620.0,357.0,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83.5,7.449999999999999,123,719,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,9
Mario Party 8,1,1,0.0,850270.0,8476.0,1078.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62.0,6.5,41,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,3,3,9
FIFA Soccer 13,1,1,0.0,466902.0,2768.0,1286.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78.0,6.0200000000000005,129,305,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,3,3,3,2,5
The Sims 3,0,1,0.0,1735151.0,4149.0,2012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73.0,6.24,194,258,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,2,3,3,9
Mario & Sonic at the Olympic Games,1,1,0.0,492699.0,4623.0,573.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.5,7.4,69,64,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9
Final Fantasy X,0,1,1.0,872530.0,6115.0,1583.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.0,8.9,53,335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9
Final Fantasy VIII,0,1,0.0,1385342.0,19222.0,5997.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90.0,8.7,24,190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9
Pac-Man,1,1,1.0,82698.0,1275.0,107.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62.0,5.1,16,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Grand Theft Auto: Liberty City Stories,1,1,0.0,117769.0,1048.0,232.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,7.85,114,270,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,9
Super Mario Galaxy 2,1,1,1.0,3260211.0,13496.0,11906.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97.0,9.1,87,420,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9
Call of Duty: Advanced Warfare,1,1,1.0,1625168.0,16731.0,6801.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80.66666666666667,5.333333333333333,110,970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,3,3,9
The Legend of Zelda: Ocarina of Time,0,1,1.0,1353391.0,10991.0,5335.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,9.1,22,1478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
Call of Duty: World at War,1,1,0.0,1689494.0,8160.0,4652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82.0,7.5,196,498,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,9
Battlefield 3,1,1,1.0,882294.0,7757.0,13313.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86.0,7.533333333333334,156,3047,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,3,9
The Legend of Zelda: Twilight Princess,0,1,1.0,370810.0,3817.0,871.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,8.95,89,616,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
Tekken 3,1,1,0.0,146.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,9.0,15,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Crash Bandicoot 3: Warped,0,1,0.0,1098237.0,13049.0,1921.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,91.0,9.0,12,140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,9
Super Smash Bros. Melee,1,1,1.0,57756.0,840.0,243.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,9.1,38,279,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,9
Mario Kart 8,1,1,1.0,1076441.0,10453.0,1351.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88.0,8.8,82,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,3,3,9
Fallout 4,0,1,1.0,2851988.0,32327.0,7340.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86.33333333333333,6.3,139,4099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,2,3,9
Mario Kart: Double Dash!!,1,1,1.0,43020.0,763.0,198.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,87.0,8.6,58,148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
FIFA 14,1,1,0.0,358546.0,2516.0,1147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86.25,5.2,126,494,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,3,3,3,9
Uncharted 3: Drake's Deception,1,1,1.0,1820057.0,17377.0,16555.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,8.4,97,1116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,3,9
Gears of War 2,1,1,1.0,547598.0,2979.0,1498.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93.0,7.9,90,415,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,9
Uncharted 2: Among Thieves,1,1,1.0,2244065.0,11967.0,8997.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,8.8,105,1185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,3,9
Red Dead Redemption,1,1,1.0,5186204.0,28618.0,15546.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,8.95,169,976,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,3,9
FIFA 15,1,1,0.0,412802.0,3127.0,529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82.0,5.2,89,485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3,3,3,9
Donkey Kong Country Returns,1,1,0.0,579420.0,2136.0,1486.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87.0,8.6,77,125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
Assassin's Creed III,1,1,1.0,1832255.0,13102.0,12463.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.5,6.825000000000001,149,1261,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4,2,3,3,9
Halo: Combat Evolved,1,1,0.0,380293.0,2428.0,3494.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90.0,8.2,108,916,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,9
Halo 3: ODST,1,1,1.0,1048416.0,5464.0,4256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83.0,7.6,94,298,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
Super Mario Sunshine,0,1,0.0,80653.0,989.0,230.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92.0,8.4,61,245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
World of Warcraft,1,0,1.0,207063.0,1988.0,500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.0,7.4,57,586,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Kinect Sports,1,1,1.0,394432.0,523.0,437.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73.0,7.6,51,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,9
Gears of War 3,1,1,1.0,671539.0,3993.0,4750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91.0,8.1,96,470,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,9
Metal Gear Solid 2: Sons of Liberty,0,1,1.0,712710.0,5659.0,2900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,8.8,42,365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,9
Sonic the Hedgehog 2,1,1,1.0,505677.0,14340.0,1220.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82.0,7.8,11,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,9
Metal Gear Solid 4: Guns of the Patriots,0,1,1.0,1055983.0,7922.0,4662.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,8.8,82,884,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,3,9
The Last of Us,1,1,1.0,3132745.0,44054.0,18351.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,9.2,98,2516,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,3,9
Final Fantasy XII,0,1,0.0,536000.0,4662.0,879.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.0,7.6,64,314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,9
Dragon Quest IX: Sentinels of the Starry Skies,1,1,1.0,661460.0,2044.0,1287.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.0,8.6,65,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,9
LEGO Star Wars: The Complete Saga,1,1,0.0,83179.0,652.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,7.575,68,139,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,9
Resident Evil 2,0,1,1.0,1183568.0,15756.0,2284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.85714285714286,8.942857142857143,204,1502,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,3,3,9
Tekken 2,1,1,0.0,116122.0,659.0,364.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,8.3,8,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,9
Assassin's Creed II,0,1,0.0,1520835.0,9037.0,5104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,8.299999999999999,174,849,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3,3,3,9
Super Smash Bros.,1,1,0.0,2876772.0,36473.0,5043.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85.33333333333333,8.700000000000001,164,859,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2,0,3,9
Batman: Arkham City,0,1,1.0,2055105.0,15034.0,6892.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.66666666666669,8.766666666666667,156,1298,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,3,9
Forza Motorsport 3,1,1,1.0,741073.0,2544.0,2510.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,92.0,8.1,90,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9
